"FSCSKEY","FSCS_SEQ","PLS_YEAR"
"AK0001",2,2014
"AK0001",2,2015
"AK0001",2,2016
"AK0001",2,2017
"AK0001",2,2018
"AK0001",2,2019
"AK0001",2,2020
"AK0002",7,2014
"AK0002",7,2015
"AK0002",7,2016
"AK0002",7,2017
"AK0002",7,2018
"AK0002",7,2019
"AK0002",7,2020
"AK0002",8,2014
"AK0002",8,2015
"AK0002",8,2016
"AK0002",8,2017
"AK0002",8,2018
"AK0002",8,2019
"AK0002",8,2020
"AK0002",10,2014
"AK0002",10,2015
"AK0002",10,2016
"AK0002",10,2017
"AK0002",10,2018
"AK0002",10,2019
"AK0002",10,2020
"AK0002",11,2014
"AK0002",11,2015
"AK0002",11,2016
"AK0002",11,2017
"AK0002",11,2018
"AK0002",11,2019
"AK0002",11,2020
"AK0002",12,2014
"AK0002",12,2015
"AK0002",12,2016
"AK0002",12,2017
"AK0002",12,2018
"AK0002",12,2019
"AK0002",12,2020
"AK0003",2,2014
"AK0003",2,2015
"AK0003",2,2016
"AK0003",2,2017
"AK0003",2,2018
"AK0003",2,2019
"AK0003",2,2020
"AK0006",2,2014
"AK0006",2,2015
"AK0006",2,2016
"AK0006",2,2017
"AK0006",2,2018
"AK0006",2,2019
"AK0006",2,2020
"AK0007",2,2014
"AK0007",2,2015
"AK0007",2,2016
"AK0007",2,2017
"AK0007",2,2018
"AK0007",2,2019
"AK0007",2,2020
"AK0008",2,2014
"AK0008",2,2015
"AK0008",2,2016
"AK0008",2,2017
"AK0008",2,2018
"AK0008",2,2019
"AK0008",2,2020
"AK0011",2,2014
"AK0011",2,2015
"AK0011",2,2016
"AK0011",2,2017
"AK0011",2,2018
"AK0011",2,2019
"AK0011",2,2020
"AK0014",2,2014
"AK0014",2,2015
"AK0014",2,2016
"AK0014",2,2017
"AK0014",2,2018
"AK0014",2,2019
"AK0014",2,2020
"AK0015",2,2014
"AK0015",2,2015
"AK0015",2,2016
"AK0015",2,2017
"AK0015",2,2018
"AK0015",2,2019
"AK0015",2,2020
"AK0016",2,2014
"AK0016",2,2015
"AK0016",2,2016
"AK0016",2,2017
"AK0016",2,2018
"AK0016",2,2019
"AK0016",2,2020
"AK0017",3,2014
"AK0017",3,2015
"AK0017",3,2016
"AK0017",3,2017
"AK0017",3,2018
"AK0017",3,2019
"AK0017",3,2020
"AK0018",2,2014
"AK0018",2,2015
"AK0018",2,2016
"AK0018",2,2017
"AK0018",2,2018
"AK0018",2,2019
"AK0018",2,2020
"AK0019",2,2014
"AK0019",2,2015
"AK0019",2,2016
"AK0019",2,2017
"AK0019",2,2018
"AK0019",2,2019
"AK0019",2,2020
"AK0020",2,2014
"AK0020",2,2015
"AK0020",2,2016
"AK0020",2,2017
"AK0020",2,2018
"AK0020",2,2019
"AK0020",2,2020
"AK0021",2,2014
"AK0021",2,2015
"AK0021",2,2016
"AK0021",2,2017
"AK0021",2,2018
"AK0021",2,2019
"AK0021",2,2020
"AK0023",2,2014
"AK0023",2,2015
"AK0023",2,2016
"AK0023",2,2017
"AK0023",2,2018
"AK0023",2,2019
"AK0023",2,2020
"AK0023",3,2014
"AK0023",3,2015
"AK0023",3,2016
"AK0023",3,2017
"AK0023",3,2018
"AK0023",3,2019
"AK0023",3,2020
"AK0023",4,2014
"AK0023",4,2015
"AK0023",4,2016
"AK0023",4,2017
"AK0023",4,2018
"AK0023",4,2019
"AK0023",4,2020
"AK0025",2,2014
"AK0025",2,2015
"AK0025",2,2016
"AK0025",2,2017
"AK0025",2,2018
"AK0025",2,2019
