"","FSCSKEY","FSCS_SEQ","LIBNAME","STABR","ADDRESS","POPU_LSA","POP_CATEGORY","ros_entity_number","ros_entity_name"
"1","AK0001",2,"ANCHOR POINT PUBLIC LIBRARY","AK","34020 NORTH FORK ROAD",2090,"Under5k",145559,"Anchor Point Public Library"
"2","AK0002",7,"CHUGIAK-EAGLE RIVER LIBRARY","AK","12001 BUSINESS BOULEVARD #176",291845,"100Kover",17005934,"Chugiak Eagle River Branch Library"
"3","AK0002",8,"MULDOON LIBRARY","AK","1251 MULDOON ROAD, SUITE 158",291845,"100Kover",17002656,"Muldoon Branch Library"
"4","AK0002",10,"SCOTT AND WESLEY GERRISH LIBRARY","AK","250 EGLOFF DRIVE",291845,"100Kover",17005935,"Scott And Wesley Gerrish Branch Library"
"5","AK0002",11,"Z. J. LOUSSAC LIBRARY","AK","3600 DENALI STREET",291845,"100Kover",17005936,"Z. J. Loussac Library"
"6","AK0002",12,"MOUNTAIN VIEW LIBRARY","AK","120 SOUTH BRAGAW STREET",291845,"100Kover",17002654,"Mountain View Branch Library"
"7","AK0003",2,"ANDERSON COMMUNITY LIBRARY","AK","101 FIRST STREET",282,"Under5k",NA,NA
"8","AK0006",2,"KUSKOKWIM CONSORTIUM LIBRARY","AK","420 CHIEF EDDIE HOFFMAN HIGHWAY",6259,"5to25K",NA,NA
"9","AK0007",2,"BIG LAKE PUBLIC LIBRARY","AK","3140 SOUTH BIG LAKE ROAD",7688,"5to25K",NA,NA
"10","AK0008",2,"CANTWELL COMMUNITY LIBRARY","AK","1 SCHOOL ROAD",190,"Under5k",NA,NA
"11","AK0011",2,"CHINIAK PUBLIC LIBRARY","AK","43318 SPRUCE WAY",45,"Under5k",145584,"Chiniak Public Library"
"12","AK0014",2,"COLD BAY PUBLIC LIBRARY","AK","10 BARANOV ROAD",60,"Under5k",145568,"Cold Bay Public Library"
"13","AK0015",2,"COOPER LANDING COMMUNITY LIBRARY","AK","18511 BEAN CREEK ROAD",269,"Under5k",145569,"Cooper Landing Community Lib"
"14","AK0016",2,"CORDOVA PUBLIC LIBRARY","AK","601 FIRST STREET",2343,"Under5k",NA,NA
"15","AK0017",3,"CRAIG PUBLIC LIBRARY","AK","504 THIRD STREET",1074,"Under5k",NA,NA
"16","AK0018",2,"IPNATCHIAQ LIBRARY","AK","59 MAIN STREET",166,"Under5k",NA,NA
"17","AK0019",2,"DELTA COMMUNITY LIBRARY","AK","2291 DEBORAH STREET",1157,"Under5k",NA,NA
"18","AK0020",2,"DILLINGHAM PUBLIC LIBRARY","AK","306 D STREET WEST",2327,"Under5k",145575,"Dillingham Public Library"
"19","AK0021",2,"EAGLE PUBLIC LIBRARY","AK","4TH & AMUNDSEN",75,"Under5k",145635,"Eagle Public Library"
"20","AK0023",2,"BOOKMOBILE","AK","1215 COWLES STREET",95898,"50to100K",225608,"Noel Wien Public Library Main Branch"
"21","AK0023",3,"NORTH POLE BRANCH LIBRARY","AK","656 NORTH POLE HIGH SCHOOL BLVD.",95898,"50to100K",117486,"North Pole Branch Library"
"22","AK0023",4,"FAIRBANKS NORTH STAR PUBLIC LIBRARY","AK","1215 COWLES STREET",95898,"50to100K",NA,NA
"23","AK0025",2,"CHARLES EVANS COMMUNITY/SCHOOL LIBRARY","AK","299 ANTOSKI ROAD",445,"Under5k",NA,NA
