"","ros_entity_number","FSCSKEY","FSCS_SEQ","ros_entity_name","ros_entity_type","is_school_library_independent","ros_subtype","ros_status","ros_physical_address","ros_physical_city","ros_physical_state","ros_physical_zipcode","ros_physical_zipcode_ext","ros_physical_county","ros_latitude","ros_longitude","ros_congressional_district","ros_urban_rural_status","ros_number_of_full_time_students","ros_total_number_of_part_time_students","ros_peak_number_of_part_time_students","ros_number_of_nslp_students","billed_entity_number","organization_name","organization_entity_type_name","org_address1","org_city","org_state","org_zipcode","org_congressional_district","funding_year","application_number","funding_request_number","form_471_line_item_number","is_certified_in_window","form_471_status_name","form_471_frn_status_name","pending_reason","spin_name","spin_number","chosen_category_of_service","form_471_service_type_name","form_471_function_name","form_471_product_name","upload_speed","form_471_upload_speed_unit_name","download_speed","form_471_download_speed_unit_name","total_monthly_cost","monthly_recur_ineligible_cost","monthly_recurring_unit_eligible_costs","monthly_quantity","total_monthly_eligible_recurring_costs","months_of_service","total_eligible_recurring_costs","total_one_time_cost","one_time_ineligible_cost","one_time_eligible_costs","one_time_quantity","total_eligible_one_time_costs","pre_discount_extended_eligible_line_item_costs","dis_pct","post_discount_extended_eligible_line_item_costs","post_discount_applicant_share","original_allocation","qty_allocation","ros_square_footage","tribal_type","ros_physical_address_2","form_471_frn_fiber_type_name","form_471_frn_fiber_sub_type_name","count_ros","cat1_discount_by_ros_estimated","POPU_LSA","LOCALE","LOCALE_DESCR","LOCALE_TOP_LEVEL_DESCR","download_speed_mbps","upload_speed_mbps","fcc_speed_benchmark","pop_category","symmetrical_gig","form_471_purpose_name","form_version","connection_directly_school","connection_supports_service","how_many_rows_per_lib","how_many_rows_per_lib_2","how_many_rows_per_lib_3","function_rank","how_many_rows_per_lib_4"
"1",1591,"MA0035",4,"north end branch library","library","No","public library","Active","25 Parmenter St","Boston","MA",2113,"2306","Suffolk","42.364096","-71.05492","Congressional District 8","Urban","NA","NA","NA","NA",149096,"Mbln Consortium","consortium","700 Boylston St.","Boston","MA",2116,"Congressional District 7",2022,221037720,2299056212,2299056212.001,"In-Window","Committed","Funded","FCDL Issued","City of Boston - Dept of Innovation & Technology",143035737,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps","1700","0","1700","1","1700","12","20400","0","0","0","0","0","20400","0.9","18360","2040","755.56","1","8200","NA","NA","NA","NA",27,"680",694583,"11","City Large","City",10000,10000,"bandwidth target met","over50",TRUE,"Internet access service with no circuit (data circuit to ISP state/regional network is billed separately)","Current","Yes","No",2,2,2,1,2
"2",1591,"MA0035",4,"north end branch library","library","No","public library","Active","25 Parmenter St","Boston","MA",2113,"2306","Suffolk","42.364096","-71.05492","Congressional District 8","Urban","NA","NA","NA","NA",149096,"Mbln Consortium","consortium","700 Boylston St.","Boston","MA",2116,"Congressional District 7",2022,221037720,2299056212,2299056212.002,"In-Window","Committed","Funded","FCDL Issued","City of Boston - Dept of Innovation & Technology",143035737,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps","1700","0","1700","1","1700","12","20400","0","0","0","0","0","20400","0.9","18360","2040","NA","1","8200","NA","NA","NA","NA",27,"680",694583,"11","City Large","City",10000,10000,"bandwidth target met","over50",TRUE,"Internet access service with no circuit (data circuit to ISP state/regional network is billed separately)","Current","Yes","No",2,2,2,1,2
"3",1593,"MA0035",6,"west end branch library","library","No","public library","Active","151 Cambridge St","Boston","MA",2114,"2704","Suffolk","42.361524","-71.065003","Congressional District 8","Urban","NA","NA","NA","NA",149096,"Mbln Consortium","consortium","700 Boylston St.","Boston","MA",2116,"Congressional District 7",2022,221037720,2299056212,2299056212.001,"In-Window","Committed","Funded","FCDL Issued","City of Boston - Dept of Innovation & Technology",143035737,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps","1700","0","1700","1","1700","12","20400","0","0","0","0","0","20400","0.9","18360","2040","755.55","1","9700","NA","NA","NA","NA",27,"680",694583,"11","City Large","City",10000,10000,"bandwidth target met","over50",TRUE,"Internet access service with no circuit (data circuit to ISP state/regional network is billed separately)","Current","Yes","No",2,2,2,1,2
"4",1593,"MA0035",6,"west end branch library","library","No","public library","Active","151 Cambridge St","Boston","MA",2114,"2704","Suffolk","42.361524","-71.065003","Congressional District 8","Urban","NA","NA","NA","NA",149096,"Mbln Consortium","consortium","700 Boylston St.","Boston","MA",2116,"Congressional District 7",2022,221037720,2299056212,2299056212.002,"In-Window","Committed","Funded","FCDL Issued","City of Boston - Dept of Innovation & Technology",143035737,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps","1700","0","1700","1","1700","12","20400","0","0","0","0","0","20400","0.9","18360","2040","NA","1","9700","NA","NA","NA","NA",27,"680",694583,"11","City Large","City",10000,10000,"bandwidth target met","over50",TRUE,"Internet access service with no circuit (data circuit to ISP state/regional network is billed separately)","Current","Yes","No",2,2,2,1,2
"5",1613,"MA0035",5,"south end branch library","library","No","public library","Active","685 Tremont St","Boston","MA",2118,"3144","Suffolk","42.341333","-71.077128","Congressional District 7","Urban","NA","NA","NA","NA",149096,"Mbln Consortium","consortium","700 Boylston St.","Boston","MA",2116,"Congressional District 7",2022,221037720,2299056212,2299056212.001,"In-Window","Committed","Funded","FCDL Issued","City of Boston - Dept of Innovation & Technology",143035737,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps","1700","0","1700","1","1700","12","20400","0","0","0","0","0","20400","0.9","18360","2040","755.55","1","10800","NA","NA","NA","NA",27,"680",694583,"11","City Large","City",10000,10000,"bandwidth target met","over50",TRUE,"Internet access service with no circuit (data circuit to ISP state/regional network is billed separately)","Current","Yes","No",2,2,2,1,2
"6",1613,"MA0035",5,"south end branch library","library","No","public library","Active","685 Tremont St","Boston","MA",2118,"3144","Suffolk","42.341333","-71.077128","Congressional District 7","Urban","NA","NA","NA","NA",149096,"Mbln Consortium","consortium","700 Boylston St.","Boston","MA",2116,"Congressional District 7",2022,221037720,2299056212,2299056212.002,"In-Window","Committed","Funded","FCDL Issued","City of Boston - Dept of Innovation & Technology",143035737,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps","1700","0","1700","1","1700","12","20400","0","0","0","0","0","20400","0.9","18360","2040","NA","1","10800","NA","NA","NA","NA",27,"680",694583,"11","City Large","City",10000,10000,"bandwidth target met","over50",TRUE,"Internet access service with no circuit (data circuit to ISP state/regional network is billed separately)","Current","Yes","No",2,2,2,1,2
"7",1617,"MA0035",22,"egleston square branch library","library","No","public library","Active","2044 Columbus Ave","Roxbury","MA",2119,"1123","Suffolk","42.314105","-71.0957","Congressional District 7","Urban","NA","NA","NA","NA",149096,"Mbln Consortium","consortium","700 Boylston St.","Boston","MA",2116,"Congressional District 7",2022,221037720,2299056212,2299056212.001,"In-Window","Committed","Funded","FCDL Issued","City of Boston - Dept of Innovation & Technology",143035737,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps","1700","0","1700","1","1700","12","20400","0","0","0","0","0","20400","0.9","18360","2040","755.55","1","6800","NA","NA","NA","NA",27,"680",694583,"11","City Large","City",10000,10000,"bandwidth target met","over50",TRUE,"Internet access service with no circuit (data circuit to ISP state/regional network is billed separately)","Current","Yes","No",2,2,2,1,2
"8",1617,"MA0035",22,"egleston square branch library","library","No","public library","Active","2044 Columbus Ave","Roxbury","MA",2119,"1123","Suffolk","42.314105","-71.0957","Congressional District 7","Urban","NA","NA","NA","NA",149096,"Mbln Consortium","consortium","700 Boylston St.","Boston","MA",2116,"Congressional District 7",2022,221037720,2299056212,2299056212.002,"In-Window","Committed","Funded","FCDL Issued","City of Boston - Dept of Innovation & Technology",143035737,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps","1700","0","1700","1","1700","12","20400","0","0","0","0","0","20400","0.9","18360","2040","NA","1","6800","NA","NA","NA","NA",27,"680",694583,"11","City Large","City",10000,10000,"bandwidth target met","over50",TRUE,"Internet access service with no circuit (data circuit to ISP state/regional network is billed separately)","Current","Yes","No",2,2,2,1,2
"9",1632,"MA0035",21,"roxbury public library","library","No","public library","Active","65 Warren St","Roxbury","MA",2119,"NA","Suffolk","42.328104","-71.083643","Congressional District 7","Urban","NA","NA","NA","NA",149096,"Mbln Consortium","consortium","700 Boylston St.","Boston","MA",2116,"Congressional District 7",2022,221037720,2299056212,2299056212.001,"In-Window","Committed","Funded","FCDL Issued","City of Boston - Dept of Innovation & Technology",143035737,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps","1700","0","1700","1","1700","12","20400","0","0","0","0","0","20400","0.9","18360","2040","755.55","1","21000","NA","NA","NA","NA",27,"680",694583,"11","City Large","City",10000,10000,"bandwidth target met","over50",TRUE,"Internet access service with no circuit (data circuit to ISP state/regional network is billed separately)","Current","Yes","No",2,2,2,1,2
"10",1632,"MA0035",21,"roxbury public library","library","No","public library","Active","65 Warren St","Roxbury","MA",2119,"NA","Suffolk","42.328104","-71.083643","Congressional District 7","Urban","NA","NA","NA","NA",149096,"Mbln Consortium","consortium","700 Boylston St.","Boston","MA",2116,"Congressional District 7",2022,221037720,2299056212,2299056212.002,"In-Window","Committed","Funded","FCDL Issued","City of Boston - Dept of Innovation & Technology",143035737,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps","1700","0","1700","1","1700","12","20400","0","0","0","0","0","20400","0.9","18360","2040","NA","1","21000","NA","NA","NA","NA",27,"680",694583,"11","City Large","City",10000,10000,"bandwidth target met","over50",TRUE,"Internet access service with no circuit (data circuit to ISP state/regional network is billed separately)","Current","Yes","No",2,2,2,1,2
