"","dis_pct","num_libs","portion_of_total"
"1","0.4",175,0.02
"2","0.49",30,0
"3","0.5",373,0.03
"4","0.51",61,0.01
"5","0.52",87,0.01
"6","0.53",71,0.01
"7","0.55",96,0.01
"8","0.57",8,0
"9","0.58",111,0.01
"10","0.59",44,0
"11","0.6",642,0.06
"12","0.61",16,0
"13","0.62",35,0
"14","0.63",40,0
"15","0.64",102,0.01
"16","0.65",200,0.02
"17","0.66",61,0.01
"18","0.67",352,0.03
"19","0.68",484,0.04
"20","0.69",178,0.02
"21","0.7",1117,0.1
"22","0.71",45,0
"23","0.73",57,0
"24","0.74",140,0.01
"25","0.75",22,0
"26","0.76",28,0
"27","0.77",29,0
"28","0.78",72,0.01
"29","0.79",6,0
"30","0.8",2595,0.22
"31","0.82",12,0
"32","0.83",12,0
"33","0.84",216,0.02
"34","0.85",20,0
"35","0.86",5,0
"36","0.87",139,0.01
"37","0.88",170,0.01
"38","0.89",3,0
"39","0.9",3684,0.32
"40","NA",1,0
