"","ros_physical_state","num_erate_libs","num_imls_erate_libs","num_imls_libs"
"1","AK",65,58,97
"2","AL",217,208,316
"3","AR",122,117,238
"4","AS",1,1,2
"5","AZ",244,177,242
"6","CA",1045,963,1258
"7","CO",132,126,289
"8","CT",120,112,243
"9","DC",26,26,27
"10","DE",37,32,37
"11","FL",383,371,579
"12","GA",376,366,414
"13","HI",52,51,54
"14","IA",85,83,571
"15","ID",109,104,165
"16","IL",324,315,796
"17","IN",365,344,455
"18","KS",213,208,383
"19","KY",209,188,276
"20","LA",354,329,360
"21","MA",188,185,467
"22","MD",185,176,222
"23","ME",228,221,261
"24","MI",407,398,664
"25","MN",343,336,376
"26","MO",122,110,407
"27","MP",3,1,5
"28","MS",223,220,235
"29","MT",12,12,125
"30","NC",232,226,429
"31","ND",29,29,97
"32","NE",78,76,271
"33","NJ",180,173,459
"34","NM",118,67,128
"35","NV",64,54,94
"36","NY",785,748,1086
"37","OH",675,634,790
"38","OK",207,201,220
"39","OR",61,60,233
"40","PA",497,466,647
"41","PR",548,29,NA
"42","RI",74,71,74
"43","SC",215,200,243
"44","SD",18,17,146
"45","TN",181,172,289
"46","TX",383,365,906
"47","UT",91,82,143
"48","VA",303,283,403
"49","VI",6,5,9
"50","VT",41,40,190
"51","WA",308,281,376
"52","WI",360,348,469
"53","WV",166,162,179
"54","GU",NA,NA,6
"55","NH",NA,NA,230
"56","WY",NA,NA,78
