"","ros_physical_state","LOCALE_TOP_LEVEL_DESCR","num_erate_libs","num_imls_erate_libs","num_imls_libs"
"1","AK","City",4,4,5
"2","AK","Rural",38,38,69
"3","AK","Suburban",1,1,1
"4","AK","Town",9,9,13
"5","AK",NA,13,6,9
"6","AL","City",43,41,66
"7","AL","Rural",88,87,130
"8","AL","Suburban",40,40,54
"9","AL","Town",40,40,66
"10","AL",NA,6,0,NA
"11","AR","City",21,20,27
"12","AR","Rural",47,47,118
"13","AR","Suburban",8,8,18
"14","AR","Town",39,39,75
"15","AR",NA,7,3,NA
"16","AS","Rural",NA,NA,1
"17","AS","Town",1,1,1
"18","AZ","City",46,46,62
"19","AZ","Rural",71,68,85
"20","AZ","Suburban",21,21,37
"21","AZ","Town",43,42,58
"22","AZ",NA,63,0,NA
"23","CA","City",332,327,464
"24","CA","Rural",115,114,160
"25","CA","Suburban",393,391,472
"26","CA","Town",125,124,162
"27","CA",NA,80,7,NA
"28","CO","City",52,52,76
"29","CO","Rural",27,27,111
"30","CO","Suburban",15,14,44
"31","CO","Town",28,28,58
"32","CO",NA,10,5,NA
"33","CT","City",26,26,34
"34","CT","Rural",32,32,66
"35","CT","Suburban",45,45,129
"36","CT","Town",4,4,14
"37","CT",NA,13,5,NA
"38","DC","City",26,26,27
"39","DE","City",4,4,4
"40","DE","Rural",5,5,6
"41","DE","Suburban",13,12,14
"42","DE","Town",11,11,13
"43","DE",NA,4,0,NA
"44","FL","City",114,113,157
"45","FL","Rural",54,54,85
"46","FL","Suburban",165,165,272
"47","FL","Town",33,33,64
"48","FL",NA,17,6,1
"49","GA","City",59,59,65
"50","GA","Rural",105,105,107
"51","GA","Suburban",98,97,125
"52","GA","Town",106,104,117
"53","GA",NA,8,1,NA
"54","GU","Rural",NA,NA,1
"55","GU","Town",NA,NA,5
"56","HI","City",12,11,13
"57","HI","Rural",6,6,7
"58","HI","Suburban",13,13,13
"59","HI","Town",19,19,19
"60","HI",NA,2,2,2
"61","IA","City",2,2,22
"62","IA","Rural",53,53,423
"63","IA","Suburban",5,5,27
"64","IA","Town",23,23,99
"65","IA",NA,2,0,NA
"66","ID","City",1,1,11
"67","ID","Rural",60,60,90
"68","ID","Suburban",19,15,22
"69","ID","Town",29,28,42
"70","IL","City",102,102,124
"71","IL","Rural",72,72,258
"72","IL","Suburban",88,87,267
"73","IL","Town",53,53,147
"74","IL",NA,9,1,NA
"75","IN","City",74,68,84
"76","IN","Rural",115,115,173
"77","IN","Suburban",63,63,73
"78","IN","Town",102,98,125
"79","IN",NA,11,0,NA
"80","KS","City",12,12,28
"81","KS","Rural",135,135,263
"82","KS","Suburban",13,12,19
"83","KS","Town",49,49,73
"84","KS",NA,4,0,NA
"85","KY","City",23,23,29
"86","KY","Rural",80,76,115
"87","KY","Suburban",26,24,31
"88","KY","Town",66,62,101
"89","KY",NA,14,3,NA
"90","LA","City",59,57,62
"91","LA","Rural",112,111,125
"92","LA","Suburban",80,78,79
"93","LA","Town",83,80,94
"94","LA",NA,20,3,NA
"95","MA","City",39,39,62
"96","MA","Rural",44,43,108
"97","MA","Suburban",80,80,268
"98","MA","Town",22,22,29
"99","MA",NA,3,1,NA
"100","MD","City",39,35,46
"101","MD","Rural",30,29,37
"102","MD","Suburban",88,88,116
"103","MD","Town",19,19,23
"104","MD",NA,9,5,NA
"105","ME","City",6,5,9
"106","ME","Rural",176,175,199
"107","ME","Suburban",13,13,20
"108","ME","Town",28,28,33
"109","ME",NA,5,0,NA
"110","MI","City",61,59,79
"111","MI","Rural",153,153,290
"112","MI","Suburban",123,122,173
"113","MI","Town",63,63,122
"114","MI",NA,7,1,NA
"115","MN","City",43,43,48
"116","MN","Rural",141,141,155
"117","MN","Suburban",57,56,68
"118","MN","Town",96,95,105
"119","MN",NA,6,1,NA
"120","MO","City",34,33,57
"121","MO","Rural",17,17,157
"122","MO","Suburban",51,50,83
"123","MO","Town",10,10,110
"124","MO",NA,10,0,NA
