"","ros_entity_number","FSCSKEY","FSCS_SEQ","ros_entity_name","ros_physical_state","ros_latitude","ros_longitude","LIBNAME","STABR","LOCALE_TOP_LEVEL_DESCR","LATITUDE","LONGITUD","POPU_LSA"
"1",NA,"AL0010",999,NA,NA,NA,NA,"CHEAHA REGIONAL LIBRARY","AL","Rural",33.64383087,-85.58905583,99363
"2",NA,"AL0048",999,NA,NA,NA,NA,"HORSESHOE BEND REGIONAL LIBRARY","AL","Rural",32.83156009,-85.76545581,152087
"3",NA,"AL0049",999,NA,NA,NA,NA,"ALEXANDER CITY - ADELIA MCCONNELL RUSSELL LIBRARY","AL","Town",32.9411837,-85.9538698,14467
"4",NA,"AL0137",999,NA,NA,NA,NA,"NORTH SHELBY LIBRARY","AL","Suburban",33.36516341,-86.71669298,50936
"5",NA,"AL0154",NA,NA,NA,NA,NA,"ANNISTON - CALHOUN COUNTY PUBLIC LIBRARY","AL","City",33.65704394,-85.82786968,74084
"6",NA,"AL0166",NA,NA,NA,NA,NA,"HUNTSVILLE - MADISON COUNTY PUBLIC LIBRARY","AL","City",34.72313914,-86.59040025,366519
"7",NA,"AR0002",999,NA,NA,NA,NA,"WASHINGTON COUNTY LIBRARY SYSTEM","AR","City",36.03459753,-94.17586127,151597
"8",NA,"AR0004",999,NA,NA,NA,NA,"SOUTHWEST ARKANSAS REGIONAL LIBRARY","AR","Town",33.802679,-93.38128064,18970
"9",NA,"AR0014",999,NA,NA,NA,NA,"SOUTHEAST ARKANSAS REGIONAL LIBRARY","AR","Town",33.63726715,-91.79026275,63485
"10",NA,"AR0016",999,NA,NA,NA,NA,"WILLIAM F. LAMAN PUBLIC LIBRARY SYSTEM","AR","City",34.78048288,-92.27002226,65903
"11",NA,"AR0019",999,NA,NA,NA,NA,"WHITE COUNTY REGIONAL LIBRARY SYSTEM","AR","Town",35.247366,-91.73707085,78753
"12",NA,"AR0049",999,NA,NA,NA,NA,"CARROLL AND MADISON LIBRARY SYSTEM","AR","Town",36.36356326,-93.56825485,43718
"13",NA,"AR0062",999,NA,NA,NA,NA,"OUACHITA MOUNTAINS REGIONAL LIBRARY","AR","Rural",34.55625811,-93.63310645,29052
"14",NA,"AR0081",999,NA,NA,NA,NA,"TRI-COUNTY REGIONAL LIBRARY SYSTEM","AR","Town",34.03696554,-94.33938642,42468
"15",NA,"AZ0001",999,NA,NA,NA,NA,"APACHE COUNTY LIBRARY DISTRICT OFFICE","AZ","Town",34.50631652,-109.3679065,72644
"16",NA,"AZ0009",999,NA,NA,NA,NA,"COCHISE COUNTY LIBRARY DISTRICT","AZ","Town",31.44324507,-109.9166159,131694
"17",NA,"AZ0028",999,NA,NA,NA,NA,"MARICOPA COUNTY LIBRARY DISTRICT OFFICE","AZ","City",33.47798098,-112.0739175,4439220
"18",NA,"AZ0035",999,NA,NA,NA,NA,"PHOENIX PUBLIC LIBRARY","AZ","City",33.46324643,-112.0737106,1634061
"19",NA,"AZ0050",999,NA,NA,NA,NA,"PINAL COUNTY LIBRARY DISTRICT","AZ","Town",33.03139087,-111.3882612,467932
"20",NA,"AZ0107",999,NA,NA,NA,NA,"NAVAJO COUNTY LIBRARY DISTRICT","AZ","Town",34.90389618,-110.1591953,113276
"21",NA,"AZ0177",NA,NA,NA,NA,NA,"LA PAZ COUNTY SERVICES","AZ","Rural",33.78823302,-113.565375,22542
"22",NA,"AZ0181",999,NA,NA,NA,NA,"HOPI PUBLIC LIBRARY","AZ","Rural",35.86877569,-110.6235638,9222
"23",NA,"CA0001",NA,NA,NA,NA,NA,"ALAMEDA COUNTY LIBRARY","CA","Suburban",37.55175256,-121.9716798,613679
"24",NA,"CA0017",NA,NA,NA,NA,NA,"BUTTE COUNTY LIBRARY","CA","Town",39.50604382,-121.5528744,210291
"25",NA,"CA0028",NA,NA,NA,NA,NA,"CONTRA COSTA COUNTY LIBRARY","CA","Suburban",37.99696493,-122.1162743,1042344
"26",NA,"CA0032",999,NA,NA,NA,NA,"DEL NORTE COUNTY LIBRARY DISTRICT","CA","Town",41.75239551,-124.1954224,27298
"27",NA,"CA0047",999,NA,NA,NA,NA,"IMPERIAL COUNTY LIBRARY","CA","City",32.79280251,-115.565097,54968
"28",NA,"CA0065",NA,NA,NA,NA,NA,"MARIN COUNTY FREE LIBRARY","CA","City",37.99887797,-122.5302064,142424
"29",NA,"CA0066",999,NA,NA,NA,NA,"MENDOCINO COUNTY LIBRARY","CA","Town",39.15862248,-123.2140023,87946
"30",NA,"CA0071",999,NA,NA,NA,NA,"MONO COUNTY FREE LIBRARY","CA","Town",37.64005276,-118.9639176,13464
"31",NA,"CA0091",NA,NA,NA,NA,NA,"PALO ALTO CITY LIBRARY","CA","City",37.44403349,-122.1593475,69226
"32",NA,"CA0136",999,NA,NA,NA,NA,"SOLANO COUNTY LIBRARY","CA","Suburban",38.25149915,-122.0479634,413049
"33",NA,"CA0137",NA,NA,NA,NA,NA,"SONOMA COUNTY LIBRARY","CA","Suburban",38.35018696,-122.706063,492980
"34",NA,"CA0157",999,NA,NA,NA,NA,"YOLO COUNTY LIBRARY","CA","Suburban",38.6834078,-121.7948102,160963
"35",NA,"CA0194",NA,NA,NA,NA,NA,"RANCHO CUCAMONGA PUBLIC LIBRARY","CA","Suburban",34.12019063,-117.5935175,175522
"36",NA,"CA0210",NA,NA,NA,NA,NA,"SANTA CLARITA PUBLIC LIBRARY","CA","Suburban",34.41505496,-118.550302,221932
"37",NA,"CA0271",999,NA,NA,NA,NA,"GOLETA VALLEY LIBRARY","CA","Suburban",34.44759099,-119.8305425,110072
"38",NA,"CO0001",NA,NA,NA,NA,NA,"RANGEVIEW LIBRARY DISTRICT","CO","Suburban",39.91402491,-104.9206768,399594
"39",NA,"CO0005",999,NA,NA,NA,NA,"ARAPAHOE LIBRARY DISTRICT","CO","Suburban",39.5780525,-104.83999,270550
"40",NA,"CO0037",NA,NA,NA,NA,NA,"DOUGLAS COUNTY LIBRARIES","CO","Suburban",39.36855148,-104.8603239,351528
"41",NA,"CO0039",NA,NA,NA,NA,NA,"EAGLE VALLEY LIBRARY DISTRICT","CO","Town",39.65065827,-106.8277966,43994
"42",NA,"CO0040",NA,NA,NA,NA,NA,"ELBERT COUNTY LIBRARY DISTRICT","CO","Rural",39.35811752,-104.610458,26686
