"","ros_entity_number","FSCSKEY","FSCS_SEQ","ros_entity_name","ros_physical_city","ros_physical_state","application_number","form_471_line_item_number","upload_speed_mbps","download_speed_mbps","form_471_function_name","form_471_product_name"
"1",100076,"NV0007",6,"eureka branch library","Eureka","NV",221001410,2299021673.001,200,200,"Wireless","Wireless data service"
"2",100298,"NV0007",7,"tuscarora branch library","Tuscarora","NV",221001410,2299021673.001,200,200,"Wireless","Wireless data service"
"3",114480,"OR0046",3,"haines branch library","Haines","OR",221030020,2299043090.001,5,25,"Copper","Digital Subscriber Line (DSL)"
"4",114584,"OR0046",5,"huntington branch library","Huntington","OR",221030020,2299043133.001,1.544,1.544,"Copper","T-1"
"5",117582,"AK0035",2,"douglas public library","Douglas","AK",221029026,2299041513.001,15,50,"Wireless","Wireless data service"
"6",125453,"PA0055",56,"butler area public library","Butler","PA",221024385,2299042385.001,10,1e+05,"Other","Broadband Over Power Lines"
"7",125461,"PA0058",2,"mars area public library","Mars","PA",221024385,2299042401.001,10,100,"Other","Broadband Over Power Lines"
"8",125463,"PA0514",2,"prospect community library","Prospect","PA",221024385,2299042428.001,10,100,"Other","Broadband Over Power Lines"
"9",125464,"PA0059",2,"saxonburg area library","Saxonburg","PA",221024385,2299042418.001,10,100,"Other","Broadband Over Power Lines"
"10",125592,"PA0125",2,"claysburg area public library","Claysburg","PA",221013315,2299016183.001,10,25,"Other","Broadband Over Power Lines"
"11",125617,"PA0129",2,"williamsburg public library","Williamsburg","PA",221023474,2299031889.001,10,50,"Other","Broadband Over Power Lines"
"12",125860,"PA0230",2,"milton public library","Milton","PA",221034255,2299054239.001,25,200,"Other","Broadband Over Power Lines"
"13",125955,"PA0286",2,"western pocono comm library","Brodheadsville","PA",221005560,2299005771.001,200,200,"Copper","Ethernet"
"14",125988,"PA0287",2,"pocono mountain public library","Tobyhanna","PA",221005558,2299005768.001,250,250,"Copper","Ethernet"
"15",128299,"TN8008",1,"palmer public library","Palmer","TN",221029842,2299042765.001,1,10,"Copper","Digital Subscriber Line (DSL)"
"16",128302,"TN0052",2,"e g fisher public library","Athens","TN",221036605,2299054644.001,150,150,"Copper","Ethernet"
"17",128306,"TN8033",1,"tellico plains public library","Tellico Plains","TN",221033134,2299053330.001,3.68,27.12,"Copper","Digital Subscriber Line (DSL)"
"18",128312,"TN0059",2,"franklin county public library","Winchester","TN",221031571,2299045852.001,50,1000,"Other","Broadband Over Power Lines"
"19",128339,"TN0027",2,"clinch river regional library","Clinton","TN",221028893,2299041492.001,30,300,"Copper","Ethernet"
"20",128949,"KY0050",2,"hickman county memorial library","Clinton","KY",221015757,2299019613.001,3,18,"Copper","Digital Subscriber Line (DSL)"
"21",131800,"IA0305",2,"adair public library","Adair","IA",221038158,2299056851.001,200,200,"Copper","Ethernet"
"22",131856,"IA0234",2,"exira public library","Exira","IA",221034555,2299050834.001,1,15,"Copper","Digital Subscriber Line (DSL)"
"23",131898,"IA0194",2,"madrid public library","Madrid","IA",221017124,2299021687.001,10,75,"Copper","Ethernet"
"24",131921,"IA0188",2,"new virginia public library","New Virginia","IA",221004008,2299003849.001,100,50,"Copper","Ethernet"
"25",132081,"IA0172",2,"gilmore city public library","Gilmore City","IA",221012329,2299014735.001,10,50,"Wireless","Satellite Service"
"26",132257,"IA0228",2,"correctionville public library","Correctionvle","IA",221027066,2299038239.001,2,30,"Copper","Ethernet"
"27",132278,"IA0494",2,"onawa public library","Onawa","IA",221013081,2299015846.001,100,100,"Other","Broadband Over Power Lines"
"28",132507,"IA0392",2,"wadena public library","Wadena","IA",221003186,2299002943.001,50,100,"Copper","Ethernet"
"29",134191,"SD0072",2,"wagner public library","Wagner","SD",221013460,2299016353.001,4.74,28.78,"Copper","Digital Subscriber Line (DSL)"
"30",134963,"MT0052",2,"moore public library","Moore","MT",221011245,2299015351.001,25,25,"Copper","Digital Subscriber Line (DSL)"
"31",135778,"IL0174",2,"evergreen park public library","Evergreen Park","IL",221034265,2299050617.001,20,300,"Other","Broadband Over Power Lines"
"32",137588,"KS0110",2,"oskaloosa public library","Oskaloosa","KS",221004789,2299004803.001,5,25,"Copper","Digital Subscriber Line (DSL)"
"33",137629,"KS0103",2,"burlingame community library","Burlingame","KS",221022283,2299029910.001,8,40,"Copper","Digital Subscriber Line (DSL)"
"34",137632,"KS0096",2,"centralia community library","Centralia","KS",221005096,2299005173.001,50,50,"Copper","Digital Subscriber Line (DSL)"
"35",137665,"KS0101",2,"overbrook public library","Overbrook","KS",221021015,2299027787.001,8,40,"Copper","Digital Subscriber Line (DSL)"
"36",137686,"KS0093",2,"wetmore public library","Wetmore","KS",221005192,2299005302.001,5,25,"Copper","Digital Subscriber Line (DSL)"
"37",137718,"KS0228",2,"hepler city library","Hepler","KS",221013869,2299016835.001,10,50,"Copper","Digital Subscriber Line (DSL)"
"38",137725,"KS0240",2,"mccune osage township","Mccune","KS",221005150,2299005243.001,10,50,"Copper","Digital Subscriber Line (DSL)"
"39",137734,"KS0231",2,"prescott city public library","Prescott","KS",221005183,2299005286.001,15,50,"Copper","Digital Subscriber Line (DSL)"
"40",137737,"KS0227",2,"savonburg public library","Savonburg","KS",221021446,2299028509.001,10,50,"Copper","Digital Subscriber Line (DSL)"
"41",137739,"KS0237",2,"toronto public library","Toronto","KS",221009462,2299010883.001,8,40,"Copper","Digital Subscriber Line (DSL)"
"42",137853,"KS0267",2,"eureka carnegie library","Eureka","KS",221021654,2299028859.001,3,18,"Copper","Digital Subscriber Line (DSL)"
