"","ros_entity_number","FSCSKEY","FSCS_SEQ","ros_entity_name","ros_entity_type","is_school_library_independent","ros_subtype","ros_status","ros_physical_address","ros_physical_city","ros_physical_state","ros_physical_zipcode","ros_physical_zipcode_ext","ros_physical_county","ros_latitude","ros_longitude","ros_congressional_district","ros_urban_rural_status","ros_number_of_full_time_students","ros_total_number_of_part_time_students","ros_peak_number_of_part_time_students","ros_number_of_nslp_students","billed_entity_number","organization_name","organization_entity_type_name","org_address1","org_city","org_state","org_zipcode","org_congressional_district","funding_year","application_number","funding_request_number","form_471_line_item_number","is_certified_in_window","form_471_status_name","form_471_frn_status_name","pending_reason","spin_name","spin_number","chosen_category_of_service","form_471_service_type_name","form_471_function_name","form_471_product_name","upload_speed","form_471_upload_speed_unit_name","download_speed","form_471_download_speed_unit_name","total_monthly_cost","monthly_recur_ineligible_cost","monthly_recurring_unit_eligible_costs","monthly_quantity","total_monthly_eligible_recurring_costs","months_of_service","total_eligible_recurring_costs","total_one_time_cost","one_time_ineligible_cost","one_time_eligible_costs","one_time_quantity","total_eligible_one_time_costs","pre_discount_extended_eligible_line_item_costs","dis_pct","post_discount_extended_eligible_line_item_costs","post_discount_applicant_share","ros_square_footage","qty_allocation","tribal_type","form_471_frn_fiber_type_name","form_471_frn_fiber_sub_type_name","ros_physical_address_2","original_allocation","count_ros","cat1_discount_by_ros_estimated","cat2_discount_by_ros","MOST_RECENT_PLS","form_471_purpose_name","form_version","connection_directly_school","connection_supports_service","download_speed_mbps","upload_speed_mbps","speed_tier","gigabit_binary","POPU_LSA","LOCALE_ADD","LOCALE","LOCALE_ADD_DESCR","LOCALE_TOP_LEVEL_DESCR","speed_benchmark","pop_category"
"1",134366,"ND0035",2,"grand forks public library","library","Yes","main branch, public library","Active","2110 Library Cir","Grand Forks","ND",58201,6324,"Grand Forks",47.8990188,-97.04898,"Congressional District (at Large)","Urban",NA,NA,NA,NA,154332,"Nd School Net","consortium","4201 Normandy Street","Bismarck","ND",58503,"Congressional District (at Large)",2022,221010236,2299011941,2299011941.001,"In-Window","Committed","Funded","FCDL Issued","DCN,LLC",143022264,"Category1","Data Transmission and/or Internet Access","Fiber","Dark Fiber (No Special Construction)",10,"Gbps",10,"Gbps",600,0,600,2,1200,12,14400,0,0,0,0,0,14400,0.5,7200,7200,37500,NA,NA,NA,NA,NA,NA,2,3600,NA,2020,"Backbone circuit for consortium that provides connectivity between aggregation points or other non-user facilities","Current","No","Yes",10000,10000,"gigabit","gigabit",69451,NA,13,"City Small","City","benchmark met","over50"
"2",134629,"ND0062",2,"minot public library","library","Yes","public library","Active","516 2nd Ave Sw","Minot","ND",58701,3740,"Ward",48.234596,-101.300288,"Congressional District (at Large)","Urban",NA,NA,NA,NA,154332,"Nd School Net","consortium","4201 Normandy Street","Bismarck","ND",58503,"Congressional District (at Large)",2022,221010224,2299011924,2299011924.001,"In-Window","Committed","Funded","FCDL Issued","SRT Communications, Inc.",143002220,"Category1","Data Transmission and/or Internet Access","Fiber","Dark Fiber (No Special Construction)",10,"Gbps",10,"Gbps",350,0,350,4,1400,12,16800,0,0,0,0,0,16800,0.55,9240,7560,38000,NA,NA,NA,NA,NA,NA,4,2310,NA,2020,"Backbone circuit for consortium that provides connectivity between aggregation points or other non-user facilities","Current","No","Yes",10000,10000,"gigabit","gigabit",47382,NA,33,"Town Remote","Town","benchmark met","under50"
"3",134633,"ND0087",2,"ward county public library -minot branch","library","No","main branch, public library","Active","225 3rd St. Se","Minot","ND",58701,4020,"Ward",48.2342832,-101.2884784,"Congressional District (at Large)","Rural",NA,NA,NA,NA,154332,"Nd School Net","consortium","4201 Normandy Street","Bismarck","ND",58503,"Congressional District (at Large)",2022,221010224,2299011924,2299011924.001,"In-Window","Committed","Funded","FCDL Issued","SRT Communications, Inc.",143002220,"Category1","Data Transmission and/or Internet Access","Fiber","Dark Fiber (No Special Construction)",10,"Gbps",10,"Gbps",350,0,350,4,1400,12,16800,0,0,0,0,0,16800,0.55,9240,7560,5412,NA,NA,NA,NA,NA,NA,4,2310,NA,2020,"Backbone circuit for consortium that provides connectivity between aggregation points or other non-user facilities","Current","No","Yes",10000,10000,"gigabit","gigabit",30804,NA,33,"Town Remote","Town","benchmark met","under50"
"4",16042201,"UT0069",8,"pleasant valley branch library (washington terrace)","library","No","public library","Active","5568 S Adams Ave","Washington Terrace","UT",84405,NA,"Weber",41.1625478,-111.9679678,"Congressional District 1","Urban",NA,NA,NA,NA,150246,"Utah Education And Telehealth Network","consortium","101 Wasatch Drive","Salt Lake City","UT",84112,"Congressional District 2",2022,221009557,2299011065,2299011065.002,"In-Window","Committed","Funded","FCDL Issued","CenturyLink Qwest Corporation",143005231,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",100,0,100,3,300,12,3600,0,0,0,0,0,3600,0.6,2160,1440,33619,NA,NA,NA,NA,NA,128.57,28,77.1428571428571,NA,2020,"Backbone circuit for consortium that provides connectivity between aggregation points or other non-user facilities","Current","No","Yes",1000,1000,"gigabit","gigabit",260213,NA,21,"Suburban Large","Suburban","benchmark met","over50"
"5",16056228,"UT0069",2,"weber county main branch library (ogden)","library","No","main branch, public library","Active","2464 Jefferson Avenue","Ogden","UT",84401,NA,"Weber",41.2210847,-111.9644522,"Congressional District 1","Urban",NA,NA,NA,NA,150246,"Utah Education And Telehealth Network","consortium","101 Wasatch Drive","Salt Lake City","UT",84112,"Congressional District 2",2022,221009557,2299011065,2299011065.002,"In-Window","Committed","Funded","FCDL Issued","CenturyLink Qwest Corporation",143005231,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",100,0,100,3,300,12,3600,0,0,0,0,0,3600,0.6,2160,1440,55000,NA,NA,NA,NA,NA,128.57,28,77.1428571428571,NA,2020,"Backbone circuit for consortium that provides connectivity between aggregation points or other non-user facilities","Current","No","Yes",1000,1000,"gigabit","gigabit",260213,NA,13,"City Small","City","benchmark met","over50"
"6",16068029,"UT0049",14,"west jordan headquarters and main library","library","No","main branch, public library","Active","8030 S 1825 W","West Jordan","UT",84088,NA,"Salt Lake",40.6052621,-111.9424315,"Congressional District 4","Urban",NA,NA,NA,NA,150246,"Utah Education And Telehealth Network","consortium","101 Wasatch Drive","Salt Lake City","UT",84112,"Congressional District 2",2022,221009557,2299011065,2299011065.002,"In-Window","Committed","Funded","FCDL Issued","CenturyLink Qwest Corporation",143005231,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",100,0,100,3,300,12,3600,0,0,0,0,0,3600,0.6,2160,1440,71660,NA,NA,NA,NA,NA,128.57,28,77.1428571428571,NA,2020,"Backbone circuit for consortium that provides connectivity between aggregation points or other non-user facilities","Current","No","Yes",1000,1000,"gigabit","gigabit",910953,NA,21,"Suburban Large","Suburban","benchmark met","over50"
"7",17000259,"UT0049",23,"byington reading room","library","No","public library","Active","3690 S Main St","South Salt Lake","UT",84115,NA,"Salt Lake",40.6905784,-111.8921179,"Congressional District 4","Urban",NA,NA,NA,NA,150246,"Utah Education And Telehealth Network","consortium","101 Wasatch Drive","Salt Lake City","UT",84112,"Congressional District 2",2022,221009557,2299011065,2299011065.002,"In-Window","Committed","Funded","FCDL Issued","CenturyLink Qwest Corporation",143005231,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",100,0,100,3,300,12,3600,0,0,0,0,0,3600,0.6,2160,1440,0,NA,NA,NA,NA,NA,128.57,28,77.1428571428571,NA,2020,"Backbone circuit for consortium that provides connectivity between aggregation points or other non-user facilities","Current","No","Yes",1000,1000,"gigabit","gigabit",910953,NA,21,"Suburban Large","Suburban","benchmark met","over50"
"8",17022458,"UT0048",2,"salt lake county library granite library","library","No","public library","Active","3375 S. 500 E.","Salt Lake City","UT",84106,NA,NA,40.697988,-111.876741,"Congressional District 4","Urban",NA,NA,NA,NA,150246,"Utah Education And Telehealth Network","consortium","101 Wasatch Drive","Salt Lake City","UT",84112,"Congressional District 2",2022,221009557,2299011065,2299011065.002,"In-Window","Committed","Funded","FCDL Issued","CenturyLink Qwest Corporation",143005231,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",100,0,100,3,300,12,3600,0,0,0,0,0,3600,0.6,2160,1440,31804,NA,NA,NA,NA,NA,128.57,28,77.1428571428571,NA,2020,"Backbone circuit for consortium that provides connectivity between aggregation points or other non-user facilities","Current","No","Yes",1000,1000,"gigabit","gigabit",200567,NA,12,"City Midsize","City","benchmark met","over50"
"9",179280,"UT0049",8,"riverton library","library","No","public library","Active","12877 S 1830 W","Riverton","UT",84065,NA,"Salt Lake",40.5172201,-111.9400925,"Congressional District 4","Urban",NA,NA,NA,NA,150246,"Utah Education And Telehealth Network","consortium","101 Wasatch Drive","Salt Lake City","UT",84112,"Congressional District 2",2022,221009557,2299011065,2299011065.002,"In-Window","Committed","Funded","FCDL Issued","CenturyLink Qwest Corporation",143005231,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",100,0,100,3,300,12,3600,0,0,0,0,0,3600,0.6,2160,1440,0,NA,NA,NA,NA,NA,128.57,28,77.1428571428571,NA,2020,"Backbone circuit for consortium that provides connectivity between aggregation points or other non-user facilities","Current","No","Yes",1000,1000,"gigabit","gigabit",910953,NA,21,"Suburban Large","Suburban","benchmark met","over50"
"10",179290,"UT0049",20,"bingham creek library","library","No","public library","Active","4834 West 9000 South","West Jordan","UT",84081,NA,NA,40.5885373,-112.0060171,"Congressional District 4","Urban",NA,NA,NA,NA,150246,"Utah Education And Telehealth Network","consortium","101 Wasatch Drive","Salt Lake City","UT",84112,"Congressional District 2",2022,221009557,2299011065,2299011065.002,"In-Window","Committed","Funded","FCDL Issued","CenturyLink Qwest Corporation",143005231,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",100,0,100,3,300,12,3600,0,0,0,0,0,3600,0.6,2160,1440,0,NA,NA,NA,NA,NA,128.57,28,77.1428571428571,NA,2020,"Backbone circuit for consortium that provides connectivity between aggregation points or other non-user facilities","Current","No","Yes",1000,1000,"gigabit","gigabit",910953,NA,21,"Suburban Large","Suburban","benchmark met","over50"
"11",179291,"UT0049",15,"west valley library","library","No","public library","Active","2880 West 3650 South","West Valley City","UT",84119,NA,NA,40.6932703,-111.9613967,"Congressional District 4","Urban",NA,NA,NA,NA,150246,"Utah Education And Telehealth Network","consortium","101 Wasatch Drive","Salt Lake City","UT",84112,"Congressional District 2",2022,221009557,2299011065,2299011065.002,"In-Window","Committed","Funded","FCDL Issued","CenturyLink Qwest Corporation",143005231,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",100,0,100,3,300,12,3600,0,0,0,0,0,3600,0.6,2160,1440,0,NA,NA,NA,NA,NA,128.58,28,77.1428571428571,NA,2020,"Backbone circuit for consortium that provides connectivity between aggregation points or other non-user facilities","Current","No","Yes",1000,1000,"gigabit","gigabit",910953,NA,21,"Suburban Large","Suburban","benchmark met","over50"
"12",179293,"UT0049",19,"hunter library","library","No","public library","Active","4740 West 4100 South","West Valley City","UT",84120,NA,NA,40.6826864,-112.0037591,"Congressional District 2","Urban",NA,NA,NA,NA,150246,"Utah Education And Telehealth Network","consortium","101 Wasatch Drive","Salt Lake City","UT",84112,"Congressional District 2",2022,221009557,2299011065,2299011065.002,"In-Window","Committed","Funded","FCDL Issued","CenturyLink Qwest Corporation",143005231,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",100,0,100,3,300,12,3600,0,0,0,0,0,3600,0.6,2160,1440,0,NA,NA,NA,NA,NA,128.58,28,77.1428571428571,NA,2020,"Backbone circuit for consortium that provides connectivity between aggregation points or other non-user facilities","Current","No","Yes",1000,1000,"gigabit","gigabit",910953,NA,21,"Suburban Large","Suburban","benchmark met","over50"
"13",179296,"UT0049",7,"taylorsville library","library","No","public library","Active","4870 South 2700 West","Taylorsville","UT",84129,NA,"Salt Lake",40.6634395,-111.9586301,"Congressional District 4","Urban",NA,NA,NA,NA,150246,"Utah Education And Telehealth Network","consortium","101 Wasatch Drive","Salt Lake City","UT",84112,"Congressional District 2",2022,221009557,2299011065,2299011065.002,"In-Window","Committed","Funded","FCDL Issued","CenturyLink Qwest Corporation",143005231,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",100,0,100,3,300,12,3600,0,0,0,0,0,3600,0.6,2160,1440,0,NA,NA,NA,NA,NA,128.58,28,77.1428571428571,NA,2020,"Backbone circuit for consortium that provides connectivity between aggregation points or other non-user facilities","Current","No","Yes",1000,1000,"gigabit","gigabit",910953,NA,21,"Suburban Large","Suburban","benchmark met","over50"
"14",182124,"UT0069",7,"ogden valley branch library (huntsville)","library","No","public library","Active","131 S 7400 East","Hunstville","UT",84317,NA,NA,41.2619773,-111.7706292,"Congressional District 1","Rural",NA,NA,NA,NA,150246,"Utah Education And Telehealth Network","consortium","101 Wasatch Drive","Salt Lake City","UT",84112,"Congressional District 2",2022,221009557,2299011065,2299011065.002,"In-Window","Committed","Funded","FCDL Issued","CenturyLink Qwest Corporation",143005231,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",100,0,100,3,300,12,3600,0,0,0,0,0,3600,0.6,2160,1440,19600,NA,NA,NA,NA,NA,128.57,28,77.1428571428571,NA,2020,"Backbone circuit for consortium that provides connectivity between aggregation points or other non-user facilities","Current","No","Yes",1000,1000,"gigabit","gigabit",260213,NA,42,"Rural Distant","Rural","benchmark met","over50"
"15",182127,"UT0069",5,"southwest branch library (roy)","library","No","public library","Active","2039 W 4000 South","Roy","UT",84067,NA,NA,41.1906918,-112.0292889,"Congressional District 1","Urban",NA,NA,NA,NA,150246,"Utah Education And Telehealth Network","consortium","101 Wasatch Drive","Salt Lake City","UT",84112,"Congressional District 2",2022,221009557,2299011065,2299011065.002,"In-Window","Committed","Funded","FCDL Issued","CenturyLink Qwest Corporation",143005231,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",100,0,100,3,300,12,3600,0,0,0,0,0,3600,0.6,2160,1440,73625,NA,NA,NA,NA,NA,128.57,28,77.1428571428571,NA,2020,"Backbone circuit for consortium that provides connectivity between aggregation points or other non-user facilities","Current","No","Yes",1000,1000,"gigabit","gigabit",260213,NA,21,"Suburban Large","Suburban","benchmark met","over50"
