"","ros_physical_state","funding_year","Category1","Category2"
"1","AK",2016,0.66,0.138
"2","AK",2017,0.66,0.128
"3","AK",2018,0.638,0.17
"4","AK",2019,0.617,0.17
"5","AK",2020,0.628,0.202
"6","AK",2021,0.638,0.202
"7","AK",2022,0.617,0.202
"8","AL",2016,0.52,0.031
"9","AL",2017,0.531,0.003
"10","AL",2018,0.5,0.007
"11","AL",2019,0.728,0.095
"12","AL",2020,0.728,0.02
"13","AL",2021,0.697,0.031
"14","AL",2022,0.714,0.003
"15","AR",2016,0.564,0.04
"16","AR",2017,0.533,0.031
"17","AR",2018,0.524,0.101
"18","AR",2019,0.52,0.106
"19","AR",2020,0.537,0.119
"20","AR",2021,0.52,0.11
"21","AR",2022,0.507,0.141
"22","AS",2022,0.5,NA
"23","AZ",2016,0.787,0.312
"24","AZ",2017,0.774,0.253
"25","AZ",2018,0.783,0.222
"26","AZ",2019,0.778,0.466
"27","AZ",2020,0.778,0.367
"28","AZ",2021,0.801,0.33
"29","AZ",2022,0.783,0.267
"30","CA",2016,0.763,0.172
"31","CA",2017,0.764,0.163
"32","CA",2018,0.802,0.041
"33","CA",2019,0.8,0.128
"34","CA",2020,0.803,0.173
"35","CA",2021,0.803,0.238
"36","CA",2022,0.826,0.078
"37","CO",2016,0.601,0.209
"38","CO",2017,0.563,0.171
"39","CO",2018,0.529,0.163
"40","CO",2019,0.532,0.114
"41","CO",2020,0.506,0.205
"42","CO",2021,0.51,0.217
"43","CO",2022,0.445,0.293
"44","CT",2016,0.36,0.051
"45","CT",2017,0.364,0.03
"46","CT",2018,0.364,0.03
"47","CT",2019,0.398,0.051
"48","CT",2020,0.424,0.068
"49","CT",2021,0.436,0.072
"50","CT",2022,0.453,0.081
"51","DC",2016,1,NA
"52","DC",2017,1,NA
"53","DC",2018,1,0.538
"54","DC",2019,1,0.038
"55","DC",2020,1,NA
"56","DC",2021,1,NA
"57","DC",2022,1,1
"58","DE",2016,0.818,NA
