"","ros_entity_number","FSCSKEY","FSCS_SEQ","ros_entity_name","ros_entity_type","is_school_library_independent","ros_subtype","ros_status","ros_physical_address","ros_physical_city","ros_physical_state","ros_physical_zipcode","ros_physical_zipcode_ext","ros_physical_county","ros_latitude","ros_longitude","ros_congressional_district","ros_urban_rural_status","ros_number_of_full_time_students","ros_total_number_of_part_time_students","ros_peak_number_of_part_time_students","ros_number_of_nslp_students","billed_entity_number","organization_name","organization_entity_type_name","org_address1","org_city","org_state","org_zipcode","org_congressional_district","funding_year","application_number","funding_request_number","form_471_line_item_number","is_certified_in_window","form_471_status_name","form_471_frn_status_name","pending_reason","spin_name","spin_number","chosen_category_of_service","form_471_service_type_name","form_471_function_name","form_471_product_name","upload_speed","form_471_upload_speed_unit_name","download_speed","form_471_download_speed_unit_name","total_monthly_cost","monthly_recur_ineligible_cost","monthly_recurring_unit_eligible_costs","monthly_quantity","total_monthly_eligible_recurring_costs","months_of_service","total_eligible_recurring_costs","total_one_time_cost","one_time_ineligible_cost","one_time_eligible_costs","one_time_quantity","total_eligible_one_time_costs","pre_discount_extended_eligible_line_item_costs","dis_pct","post_discount_extended_eligible_line_item_costs","post_discount_applicant_share","ros_square_footage","qty_allocation","tribal_type","form_471_frn_fiber_type_name","form_471_frn_fiber_sub_type_name","ros_physical_address_2","original_allocation","count_ros","cat1_discount_by_ros_estimated","cat2_discount_by_ros","MOST_RECENT_PLS","form_471_purpose_name","form_version","connection_directly_school","connection_supports_service","download_speed_mbps","upload_speed_mbps","speed_tier","gigabit_binary","POPU_LSA","LOCALE_ADD","LOCALE","LOCALE_ADD_DESCR","LOCALE_TOP_LEVEL_DESCR","speed_benchmark","pop_category"
"1",108692,"CA0001",7,"centerville branch library","library","No","public library","Active","3801 Nicolet Ave","Fremont","CA",94536,3409,"Alameda",37.5680343,-122.0222203,"Congressional District 15","Urban",NA,NA,NA,NA,144190,"Alameda County Library","library system","2450 Stevenson Blvd","Fremont","CA",94538,"Congressional District 17",2022,221003712,2299003547,2299003547.003,"In-Window","Committed","Funded","FCDL Issued","Pacific Bell Telephone Company",143002665,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",2,"Gbps",2,"Gbps",865.69,0,865.69,6,5194.14,12,62329.68,0,0,0,0,0,62329.68,0.4,24931.872,37397.81,6000,1,NA,NA,NA,NA,NA,6,4155.312,NA,2020,"Data connection(s) for an applicant’s hub site to an Internet Service Provider or state/regional network where Internet access service is billed separately","Current","Yes","No",2000,2000,"gigabit","gigabit",613679,NA,21,"Suburban Large","Suburban","benchmark met","over50"
"2",108832,"CA0001",6,"castro valley branch library","library","No","public library","Active","3600 Norbridge Avenue","Castro Valley","CA",94546,4326,"Alameda",37.6930103,-122.0710674,"Congressional District 15","Urban",NA,NA,NA,NA,144190,"Alameda County Library","library system","2450 Stevenson Blvd","Fremont","CA",94538,"Congressional District 17",2022,221003712,2299003547,2299003547.003,"In-Window","Committed","Funded","FCDL Issued","Pacific Bell Telephone Company",143002665,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",2,"Gbps",2,"Gbps",865.69,0,865.69,6,5194.14,12,62329.68,0,0,0,0,0,62329.68,0.4,24931.872,37397.81,34537,1,NA,NA,NA,NA,NA,6,4155.312,NA,2020,"Data connection(s) for an applicant’s hub site to an Internet Service Provider or state/regional network where Internet access service is billed separately","Current","Yes","No",2000,2000,"gigabit","gigabit",613679,NA,21,"Suburban Large","Suburban","benchmark met","over50"
"3",109100,"CA0001",13,"san lorenzo branch library","library","No","public library","Active","395 Paseo Grande","San Lorenzo","CA",94580,2453,"Alameda",37.6810437,-122.1259834,"Congressional District 15","Urban",NA,NA,NA,NA,144190,"Alameda County Library","library system","2450 Stevenson Blvd","Fremont","CA",94538,"Congressional District 17",2022,221003712,2299003547,2299003547.003,"In-Window","Committed","Funded","FCDL Issued","Pacific Bell Telephone Company",143002665,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",2,"Gbps",2,"Gbps",865.69,0,865.69,6,5194.14,12,62329.68,0,0,0,0,0,62329.68,0.4,24931.872,37397.81,20000,1,NA,NA,NA,NA,NA,6,4155.312,NA,2020,"Data connection(s) for an applicant’s hub site to an Internet Service Provider or state/regional network where Internet access service is billed separately","Current","Yes","No",2000,2000,"gigabit","gigabit",613679,NA,21,"Suburban Large","Suburban","benchmark met","over50"
"4",109142,"CA0001",14,"union city branch library","library","No","public library","Active","34007 Alvarado Niles Rd","Union City","CA",94587,4452,"Alameda",37.5880783,-122.0271763,"Congressional District 15","Urban",NA,NA,NA,NA,144190,"Alameda County Library","library system","2450 Stevenson Blvd","Fremont","CA",94538,"Congressional District 17",2022,221003712,2299003547,2299003547.003,"In-Window","Committed","Funded","FCDL Issued","Pacific Bell Telephone Company",143002665,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",2,"Gbps",2,"Gbps",865.69,0,865.69,6,5194.14,12,62329.68,0,0,0,0,0,62329.68,0.4,24931.872,37397.81,12000,1,NA,NA,NA,NA,NA,6,4155.312,NA,2020,"Data connection(s) for an applicant’s hub site to an Internet Service Provider or state/regional network where Internet access service is billed separately","Current","Yes","No",2000,2000,"gigabit","gigabit",613679,NA,21,"Suburban Large","Suburban","benchmark met","over50"
"5",109429,"CA0001",4,"albany branch library","library","No","public library","Active","1247 Marin Ave","Albany","CA",94706,2043,"Alameda",37.8876323,-122.2931782,"Congressional District 13","Urban",NA,NA,NA,NA,144190,"Alameda County Library","library system","2450 Stevenson Blvd","Fremont","CA",94538,"Congressional District 17",2022,221003712,2299003547,2299003547.003,"In-Window","Committed","Funded","FCDL Issued","Pacific Bell Telephone Company",143002665,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",2,"Gbps",2,"Gbps",865.69,0,865.69,6,5194.14,12,62329.68,0,0,0,0,0,62329.68,0.4,24931.872,37397.81,15220,1,NA,NA,NA,NA,NA,6,4155.312,NA,2020,"Data connection(s) for an applicant’s hub site to an Internet Service Provider or state/regional network where Internet access service is billed separately","Current","Yes","No",2000,2000,"gigabit","gigabit",613679,NA,21,"Suburban Large","Suburban","benchmark met","over50"
"6",11506,"NY0004",9,"brooklyn hts branch library","library","No","public library","Active","280 Cadman Plz W","Brooklyn","NY",11201,2701,"Kings",40.6956389,-73.9914801,"Congressional District 7","Urban",NA,NA,NA,NA,123803,"Brooklyn Public Library","library system","10 Grand Army Plz","Brooklyn","NY",11238,"Congressional District 8",2022,221030401,2299043900,2299043900.001,"In-Window","Committed","Funded","FCDL Issued","Crown Castle Fiber LLC",143005274,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps",6500,0,6500,2,13000,12,156000,0,0,0,0,0,156000,0.9,140400,15600,48200,NA,NA,NA,NA,NA,2600,60,2340,NA,2020,"Data connection(s) for an applicant’s hub site to an Internet Service Provider or state/regional network where Internet access service is billed separately","Current","No","Yes",10000,10000,"gigabit","gigabit",2504700,NA,11,"City Large","City","benchmark met","over50"
"7",11537,"NY0004",50,"rugby branch library","library","No","public library","Active","1000 Utica Ave","Brooklyn","NY",11203,4310,"Kings",40.6486783,-73.9300501,"Congressional District 9","Urban",NA,NA,NA,NA,123803,"Brooklyn Public Library","library system","10 Grand Army Plz","Brooklyn","NY",11238,"Congressional District 8",2022,221030401,2299043900,2299043900.001,"In-Window","Committed","Funded","FCDL Issued","Crown Castle Fiber LLC",143005274,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps",6500,0,6500,2,13000,12,156000,0,0,0,0,0,156000,0.9,140400,15600,9000,NA,NA,NA,NA,NA,2600,60,2340,NA,2020,"Data connection(s) for an applicant’s hub site to an Internet Service Provider or state/regional network where Internet access service is billed separately","Current","No","Yes",10000,10000,"gigabit","gigabit",2504700,NA,11,"City Large","City","benchmark met","over50"
"8",115628,"WA0060",2,"central hdqtrs branch library","library","No","main branch, public library","Active","1301 Sylvan Way","Bremerton","WA",98310,3466,"Kitsap",47.5951125,-122.624949,"Congressional District 6","Urban",NA,NA,NA,NA,145246,"Kitsap Regional Library","library system","1301 Sylvan Way","Bremerton","WA",98310,"Congressional District 6",2022,221016374,2299020477,2299020477.002,"In-Window","Committed","Funded","FCDL Issued","DT Micro, Inc.",143031908,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",5,"Gbps",5,"Gbps",1500,0,1500,1,1500,12,18000,0,0,0,0,0,18000,0.8,14400,3600,35500,NA,NA,NA,NA,NA,NA,1,14400,NA,2020,"Data connection(s) for an applicant’s hub site to an Internet Service Provider or state/regional network where Internet access service is billed separately","Current","No","Yes",5000,5000,"gigabit","gigabit",272200,NA,13,"City Small","City","benchmark met","over50"
"9",11566,"NY0004",39,"mapleton branch library","library","No","public library","Active","1702 60th St","Brooklyn","NY",11204,2205,"Kings",40.6231592,-73.989456,"Congressional District 10","Urban",NA,NA,NA,NA,123803,"Brooklyn Public Library","library system","10 Grand Army Plz","Brooklyn","NY",11238,"Congressional District 8",2022,221030401,2299043900,2299043900.001,"In-Window","Committed","Funded","FCDL Issued","Crown Castle Fiber LLC",143005274,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps",6500,0,6500,2,13000,12,156000,0,0,0,0,0,156000,0.9,140400,15600,18420,NA,NA,NA,NA,NA,2600,60,2340,NA,2020,"Data connection(s) for an applicant’s hub site to an Internet Service Provider or state/regional network where Internet access service is billed separately","Current","No","Yes",10000,10000,"gigabit","gigabit",2504700,NA,11,"City Large","City","benchmark met","over50"
"10",11568,"NY0004",51,"ryder branch library","library","No","public library","Active","5902 23rd Ave","Brooklyn","NY",11204,2608,"Kings",40.6159251,-73.9759804,"Congressional District 10","Urban",NA,NA,NA,NA,123803,"Brooklyn Public Library","library system","10 Grand Army Plz","Brooklyn","NY",11238,"Congressional District 8",2022,221030401,2299043900,2299043900.001,"In-Window","Committed","Funded","FCDL Issued","Crown Castle Fiber LLC",143005274,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps",6500,0,6500,2,13000,12,156000,0,0,0,0,0,156000,0.9,140400,15600,10690,NA,NA,NA,NA,NA,2600,60,2340,NA,2020,"Data connection(s) for an applicant’s hub site to an Internet Service Provider or state/regional network where Internet access service is billed separately","Current","No","Yes",10000,10000,"gigabit","gigabit",2504700,NA,11,"City Large","City","benchmark met","over50"
