"","FSCSKEY","FSCS_SEQ","LIBID","LIBNAME","ADDRESS","CITY","STABR","ZIP","C_ADMIN","C_OUT_TY","LATITUDE","LONGITUD","PLS_YEAR","n","ros_entity_number"
"1","AK0003",2,"AK0003-002","ANDERSON COMMUNITY LIBRARY","101 FIRST STREET","ANDERSON","AK",99744,NA,"CE",64.34374942,-149.1744083,2020,1,NA
"2","AK0006",2,"AK0006-002","KUSKOKWIM CONSORTIUM LIBRARY","420 CHIEF EDDIE HOFFMAN HIGHWAY","BETHEL","AK",99559,NA,"CE",60.79058917,-161.7736923,2020,1,NA
"3","AK0008",2,"AK0008-002","CANTWELL COMMUNITY LIBRARY","1 SCHOOL ROAD","CANTWELL","AK",99729,NA,"CE",63.3923707,-148.8948017,2020,1,NA
"4","AK0018",2,"AK0018-002","IPNATCHIAQ LIBRARY","59 MAIN STREET","DEERING","AK",99736,NA,"CE",66.07485877,-162.7196162,2020,1,NA
"5","AK0025",2,"AK0025-002","CHARLES EVANS COMMUNITY/SCHOOL LIBRARY","299 ANTOSKI ROAD","GALENA","AK",99741,NA,"CE",64.74950175,-156.8815216,2020,1,NA
"6","AK0033",2,"AK0033-002","HOPE COMMUNITY LIBRARY","18487 A AVENUE","HOPE","AK",99605,NA,"CE",60.91871116,-149.6412992,2020,1,NA
"7","AK0038",2,"AK0038-002","KENAI COMMUNITY LIBRARY","163 MAIN STREET LOOP","KENAI","AK",99611,NA,"CE",60.55973412,-151.2486134,2020,1,NA
"8","AK0041",2,"AK0041-002","CHUKCHI CONSORTIUM LIBRARY","604 THIRD STREET","KOTZEBUE","AK",99752,NA,"CE",66.89934034,-162.5873743,2020,1,NA
"9","AK0041",3,"AK0041-003","SELAWIK DAVIS RAMOTH COMMUNITY LIBRARY","2600 MUSK OX PARKWAY","SELAWIK","AK",99770,NA,"BR",66.599999,-160.0125,2018,1,NA
"10","AK0053",2,"AK0053-002","NORTHWAY COMMUNITY/SCHOOL LIBRARY","496 NORTHWAY ROAD","NORTHWAY","AK",99764,NA,"CE",62.944215,-141.9413,2017,1,NA
"11","AK0068",2,"AK0068-002","SKAGWAY PUBLIC LIBRARY","769 STATE STREET","SKAGWAY","AK",99840,NA,"CE",59.45760188,-135.3138967,2020,1,NA
"12","AK0071",1,"AK0071-002","TAKOTNA COMMUNITY/SCHOOL LIBRARY","RIVERSIDE DRIVE","TAKOTNA","AK",99675,NA,"CE",62.98819239,-156.0649294,2020,1,NA
"13","AK0073",2,"AK0073-002","TANANA COMMUNITY/SCHOOL LIBRARY","89 FRONT STREET","TANANA","AK",99777,NA,"CE",65.17054645,-152.0816283,2020,1,NA
"14","AK0078",2,"AK0078-002","WASILLA PUBLIC LIBRARY","500 N CRUSEY STREET","WASILLA","AK",99654,NA,"CE",61.58385999,-149.4296874,2020,1,NA
"15","AK0082",2,"AK0082-002","AKIAK SCHOOL/COMMUNITY LIBRARY","1 KILBUCK ROAD","AKIAK","AK",99552,NA,"CE",60.91116104,-161.2189952,2020,1,NA
"16","AK0087",2,"AK0087-002","KOYUK PUBLIC LIBRARY","3RD AND BIRCH STREET","KOYUK","AK",99753,NA,"CE",64.93061,-161.16664,2017,1,NA
"17","AK0091",2,"AK0091-002","TULUKSAK SCHOOL/COMMUNITY LIBRARY","1 PHILLIP STREET","TULUKSAK","AK",99679,NA,"CE",61.107769,-160.952397,2017,1,NA
"18","AK0094",3,"AK0094-003","ALAK COMMUNITY/SCHOOL LIBRARY","567 MAIN STREET","WAINWRIGHT","AK",99782,NA,"BR",70.63714387,-160.0329162,2020,1,NA
"19","AK0094",4,"AK0094-004","TIKIGAK SCHOOL/COMMUNITY LIBRARY","1837 TIKIGAQ AVENUE","POINT HOPE","AK",99766,NA,"BR",68.34938527,-166.731772,2020,1,NA
"20","AK0094",5,"AK0094-005","NUNAMIUT SCHOOL/COMMUNITY LIBRARY","114 ILLINOIS AVENUE","ANAKTUVUK PASS","AK",99721,NA,"BR",68.14036007,-151.7387799,2020,1,NA
"21","AK0094",6,"AK0094-006","MEADE RIVER SCHOOL/COMMUNITY LIBRARY","4001 KIPPI STREET","ATQASUK","AK",99791,NA,"BR",70.48066056,-157.4193599,2020,1,NA
"22","AK0094",7,"AK0094-007","HAROLD KAVEOLOOK SCHOOL/COMMUNITY LIBRARY","2001 BARTER AVENUE","KAKTOVIK","AK",99747,NA,"BR",70.13033898,-143.6214731,2020,1,NA
"23","AK0094",8,"AK0094-008","NUIQSUT TRAPPER SCHOOL/COMMUNITY LIBRARY","3310 3RD AVENUE","NUIQSUT","AK",99789,NA,"BR",70.21856887,-150.9988117,2020,1,NA
"24","AK0094",9,"AK0094-009","KALI COMMUNITY/SCHOOL LIBRARY","1029 QASIGIALIK STREET","POINT LAY","AK",99759,NA,"BR",69.74186961,-163.0113935,2020,1,NA
"25","AK0095",2,"AK0095-002","AKIACHAK SCHOOL/COMMUNITY LIBRARY","1 MAIN STREET","AKIACHAK","AK",99551,NA,"CE",60.91065278,-161.4425951,2020,1,NA
"26","AK0097",2,"AK0097-002","ESTHER GREENWALD LIBRARY","366 GARTEENI HIGHWAY","HOONAH","AK",99829,NA,"CE",58.108149,-135.441491,2017,1,NA
"27","AK0100",1,"AK0100-002","TOP OF THE KUSKOKWIM COMMUNITY/SCHOOL LIBRARY","9127 MAIN STREET","NIKOLAI","AK",99691,NA,"CE",63.01347272,-154.374673,2020,1,NA
"28","AK0101",2,"AK0101-002","SAND POINT COMMUNITY/SCHOOL LIBRARY","123 RED COVE ROAD","SAND POINT","AK",99661,NA,"CE",55.35348004,-160.4808471,2020,1,NA
"29","AK0102",2,"AK0102-002","EGEGIK VILLAGE LIBRARY","289 AIRPORT ROAD","EGEGIK","AK",99579,NA,"CE",58.20433955,-157.3714784,2020,1,NA
"30","AK0104",2,"AK0104-002","HOLY CROSS COMMUNITY/SCHOOL LIBRARY","210 MAIN STREET","HOLY CROSS","AK",99602,NA,"CE",62.1988814,-159.7695558,2020,1,NA
"31","AK0120",1,"AK0120-002","INNOKO RIVER COMMUNITY/SCHOOL AND TRIBAL LIBRARY","101 PINE STREET","SHAGELUK","AK",99665,NA,"CE",62.655185,-159.5324,2020,1,NA
"32","AK0121",1,"AK0121-002","BLACKWELL COMMUNITY/SCHOOL LIBRARY","100 WHITE SPRUCE TRAIL","ANVIK","AK",99558,NA,"CE",62.65398,-160.2008263,2020,1,NA
"33","AK0122",1,"AK0122-002","DAVID LOUIS COMMUNITY/SCHOOL LIBRARY","DAVID LOUIS SCHOOL BUILDING","GRAYLING","AK",99590,NA,"CE",62.90556141,-160.0656591,2020,1,NA
"34","AK0123",1,"AK0123-001","KLAWOCK PUBLIC LIBRARY","615 NORTH PARK STREET","KLAWOCK","AK",99925,NA,"CE",55.539085,-132.99995,2017,1,NA
"35","AK0136",1,"AK0136-001","SCAMMON BAY PUBLIC LIBRARY","103 MAIN STREET","SCAMMON BAY","AK",99662,NA,"CE",61.842693,-165.583113,2017,1,NA
"36","AK0138",1,"AK0138-002","SHIRLY JACKSON COMMUNITY LIBRARY","175 LIBRARY DR","KAKE","AK",99830,NA,"CE",56.974753,-133.945079,2017,1,NA
"37","AL0010",6,"AL0010-006","CHEAHA REGIONAL BOOKMOBILE","935 COLEMAN STREET","HEFLIN","AL",36264,NA,"BS",33.64383087,-85.58905583,2020,1,NA
"38","AL0010",999,"101-000","CHEAHA REGIONAL LIBRARY","935 COLEMAN STREET","HEFLIN","AL",36264,"MA",NA,33.64383087,-85.58905583,2020,1,NA
"39","AL0011",2,"101-000","ROANOKE - ANNIE L. AWBREY PUBLIC LIBRARY","736 COLLEGE STREET","ROANOKE","AL",36274,NA,"CE",33.14955216,-85.37048706,2020,1,NA
"40","AL0014",2,"999-028","CHEROKEE COUNTY PUBLIC LIBRARY","310 MARY STREET","CENTRE","AL",35960,NA,"CE",34.14943219,-85.6763325,2020,1,NA
"41","AL0016",2,"101-005","LINCOLN PUBLIC LIBRARY","47475 US HWY 78","LINCOLN","AL",35096,NA,"CE",33.60385673,-86.12320681,2020,1,NA
"42","AL0017",2,"101-006","LINEVILLE PUBLIC LIBRARY","60119 HIGHWAY 49","LINEVILLE","AL",36266,NA,"CE",33.31085532,-85.75448352,2020,1,NA
"43","AL0020",2,"101-009","TALLADEGA - ARMSTRONG-OSBORNE PUBLIC LIBRARY","202 SOUTH STREET EAST","TALLADEGA","AL",35160,NA,"CE",33.43319166,-86.09957653,2020,1,NA
"44","AL0023",3,"999-033","ARITON - DOT LANEY MEMORIAL LIBRARY","30 WEST MAIN STREET","ARITON","AL",36311,NA,"CE",31.6001879,-85.7194125,2014,1,NA
