"","ros_entity_number","FSCSKEY","FSCS_SEQ","ros_entity_name","ros_entity_type","is_school_library_independent","ros_subtype","ros_status","ros_physical_address","ros_physical_city","ros_physical_state","ros_physical_zipcode","ros_physical_zipcode_ext","ros_physical_county","ros_latitude","ros_longitude","ros_congressional_district","ros_urban_rural_status","ros_number_of_full_time_students","ros_total_number_of_part_time_students","ros_peak_number_of_part_time_students","ros_number_of_nslp_students","billed_entity_number","organization_name","organization_entity_type_name","org_address1","org_city","org_state","org_zipcode","org_congressional_district","funding_year","application_number","funding_request_number","form_471_line_item_number","is_certified_in_window","form_471_status_name","form_471_frn_status_name","pending_reason","spin_name","spin_number","chosen_category_of_service","form_471_service_type_name","form_471_function_name","form_471_product_name","upload_speed","form_471_upload_speed_unit_name","download_speed","form_471_download_speed_unit_name","total_monthly_cost","monthly_recur_ineligible_cost","monthly_recurring_unit_eligible_costs","monthly_quantity","total_monthly_eligible_recurring_costs","months_of_service","total_eligible_recurring_costs","total_one_time_cost","one_time_ineligible_cost","one_time_eligible_costs","one_time_quantity","total_eligible_one_time_costs","pre_discount_extended_eligible_line_item_costs","dis_pct","post_discount_extended_eligible_line_item_costs","post_discount_applicant_share","ros_square_footage","qty_allocation","tribal_type","form_471_frn_fiber_type_name","form_471_frn_fiber_sub_type_name","ros_physical_address_2","original_allocation","count_ros","cat1_discount_by_ros_estimated","cat2_discount_by_ros","MOST_RECENT_PLS","form_471_purpose_name","form_version","connection_directly_school","connection_supports_service","download_speed_mbps","upload_speed_mbps","speed_tier","gigabit_binary","POPU_LSA","speed_benchmark","pop_category"
"1",115884,"WA0068",8,"mottet branch library","library","No","public library","Active","3523 E G St","Tacoma","WA",98404,2145,"Pierce",47.228752,-122.421782,"Congressional District 10","Urban",NA,NA,NA,NA,17001842,"Tacoma Public Library","library system","1102 Tacoma Ave S","Tacoma","WA",98402,"Congressional District 6",2022,221014101,2299017176,2299017176.001,"In-Window","Committed","Funded","FCDL Issued","Rainier Connect North, LLC",143052298,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",2350,0,2350,1,2350,12,28200,0,0,0,0,0,28200,0.8,22560,5640,5024,1,NA,NA,NA,NA,2820,10,2256,NA,2020,"Internet access service with no circuit (data circuit to ISP state/regional network is billed separately)","Current","Yes","No",1000,1000,"gigabit","gigabit",213300,"benchmark met","over50"
"2",115905,"WA0068",11,"george o swasey branch library","library","No","public library","Active","7001 6th Ave","Tacoma","WA",98406,1707,"Pierce",47.25584,-122.530651,"Congressional District 6","Urban",NA,NA,NA,NA,17001842,"Tacoma Public Library","library system","1102 Tacoma Ave S","Tacoma","WA",98402,"Congressional District 6",2022,221014101,2299017176,2299017176.001,"In-Window","Committed","Funded","FCDL Issued","Rainier Connect North, LLC",143052298,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",2350,0,2350,1,2350,12,28200,0,0,0,0,0,28200,0.8,22560,5640,9686,1,NA,NA,NA,NA,2820,10,2256,NA,2020,"Internet access service with no circuit (data circuit to ISP state/regional network is billed separately)","Current","Yes","No",1000,1000,"gigabit","gigabit",213300,"benchmark met","over50"
"3",115925,"WA0068",7,"grace r moore branch library","library","No","public library","Active","215 S 56th St","Tacoma","WA",98408,6404,"Pierce",47.206666,-122.435527,"Congressional District 6","Urban",NA,NA,NA,NA,17001842,"Tacoma Public Library","library system","1102 Tacoma Ave S","Tacoma","WA",98402,"Congressional District 6",2022,221014101,2299017176,2299017176.001,"In-Window","Committed","Funded","FCDL Issued","Rainier Connect North, LLC",143052298,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",2350,0,2350,1,2350,12,28200,0,0,0,0,0,28200,0.8,22560,5640,15487,1,NA,NA,NA,NA,2820,10,2256,NA,2020,"Internet access service with no circuit (data circuit to ISP state/regional network is billed separately)","Current","Yes","No",1000,1000,"gigabit","gigabit",213300,"benchmark met","over50"
"4",115933,"WA0068",9,"south tacoma branch library","library","No","public library","Active","3411 S 56th St","Tacoma","WA",98409,4203,"Pierce",47.206695,-122.482079,"Congressional District 6","Urban",NA,NA,NA,NA,17001842,"Tacoma Public Library","library system","1102 Tacoma Ave S","Tacoma","WA",98402,"Congressional District 6",2022,221014101,2299017176,2299017176.001,"In-Window","Committed","Funded","FCDL Issued","Rainier Connect North, LLC",143052298,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",2350,0,2350,1,2350,12,28200,0,0,0,0,0,28200,0.8,22560,5640,7475,1,NA,NA,NA,NA,2820,10,2256,NA,2020,"Internet access service with no circuit (data circuit to ISP state/regional network is billed separately)","Current","Yes","No",1000,1000,"gigabit","gigabit",213300,"benchmark met","over50"
"5",115944,"WA0068",5,"kobetich branch library","library","No","public library","Active","212 Browns Point Blvd Ne","Tacoma","WA",98422,2503,"Pierce",47.287929,-122.386333,"Congressional District 9","Urban",NA,NA,NA,NA,17001842,"Tacoma Public Library","library system","1102 Tacoma Ave S","Tacoma","WA",98402,"Congressional District 6",2022,221014101,2299017176,2299017176.001,"In-Window","Committed","Funded","FCDL Issued","Rainier Connect North, LLC",143052298,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",2350,0,2350,1,2350,12,28200,0,0,0,0,0,28200,0.8,22560,5640,5000,1,NA,NA,NA,NA,2820,10,2256,NA,2020,"Internet access service with no circuit (data circuit to ISP state/regional network is billed separately)","Current","Yes","No",1000,1000,"gigabit","gigabit",213300,"benchmark met","over50"
"6",115966,"WA0068",3,"fern hill branch library","library","No","public library","Active","765 S 84th St","Tacoma","WA",98444,6365,"Pierce",47.181434,-122.442886,"Congressional District 6","Urban",NA,NA,NA,NA,17001842,"Tacoma Public Library","library system","1102 Tacoma Ave S","Tacoma","WA",98402,"Congressional District 6",2022,221014101,2299017176,2299017176.001,"In-Window","Committed","Funded","FCDL Issued","Rainier Connect North, LLC",143052298,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",2350,0,2350,1,2350,12,28200,0,0,0,0,0,28200,0.8,22560,5640,7996,1,NA,NA,NA,NA,2820,10,2256,NA,2020,"Internet access service with no circuit (data circuit to ISP state/regional network is billed separately)","Current","Yes","No",1000,1000,"gigabit","gigabit",213300,"benchmark met","over50"
"7",122497,"CT0094",2,"edith wheeler memorial public library","library","Yes","public library","Active","733 Monroe Turnpike","Monroe","CT",6468,NA,"Fairfield",41.331314,-73.207135,"Congressional District 4","Urban",NA,NA,NA,NA,122497,"Edith Wheeler Memorial Public Library","library","733 Monroe Turnpike","Monroe","CT",6468,"Congressional District 4",2022,221019224,2299024951,2299024951.001,"In-Window","Committed","Funded","FCDL Issued","Dept of Admin Services, CT",143049066,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",25,"Mbps",25,"Mbps",123,0,123,1,123,12,1476,0,0,0,0,0,1476,0.4,590.4,885.6,32000,1,NA,NA,NA,NA,1476,1,590.4,NA,2020,"Internet access service with no circuit (data circuit to ISP state/regional network is billed separately)","Current","Yes","No",25,25,"underserved","not_gigabit",19434,"benchmark not met","under50"
"8",122766,"NJ0295",2,"mountainside public library","library","Yes","main branch, public library","Active","1 Constitution Plz","Mountainside","NJ",7092,NA,"Union",40.67373,-74.358432,"Congressional District 7","Urban",NA,NA,NA,NA,122766,"Mountainside Public Library","library","1 Constitution Plz","Mountainside","NJ",7092,"Congressional District 7",2022,221023938,2299032766,2299032766.001,"In-Window","Committed","Funded","FCDL Issued","Verizon New Jersey Inc",143001362,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",388,0,388,1,388,7,2716,0,0,0,0,0,2716,0.4,1086.4,1629.6,10000,NA,NA,NA,NA,NA,2716,1,1086.4,NA,2020,"Internet access service with no circuit (data circuit to ISP state/regional network is billed separately)","Current","No","Yes",1000,1000,"gigabit","gigabit",6685,"benchmark met","under50"
"9",122787,"NJ0117",2,"irvington public library","library","Yes","main branch, public library","Active","1 Civic Sq","Irvington","NJ",7111,2412,"Essex",40.7269329,-74.2341822,"Congressional District 10","Urban",NA,NA,NA,NA,122787,"Irvington Public Library","library","1 Civic Sq","Irvington","NJ",7111,"Congressional District 10",2022,221017946,2299022810,2299022810.001,"In-Window","Committed","Funded","FCDL Issued","Verizon New Jersey Inc",143001362,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",480,0,480,1,480,12,5760,0,0,0,0,0,5760,0.9,5184,576,33000,NA,NA,NA,NA,NA,5760,1,5184,NA,2020,"Internet access service with no circuit (data circuit to ISP state/regional network is billed separately)","Current","No","Yes",1000,1000,"gigabit","gigabit",53926,"benchmark met","over50"
"10",123195,"NJ0092",2,"haddonfield public library","library","Yes","main branch, public library","Active","60 N Haddon Ave","Haddonfield","NJ",8033,2422,"Camden",39.899198,-75.034794,"Congressional District 1","Urban",NA,NA,NA,NA,123195,"Haddonfield Public Library","library","60 N Haddon Ave","Haddonfield","NJ",8033,"Congressional District 1",2022,221029922,2299042908,2299042908.001,"In-Window","Committed","Funded","FCDL Issued","Verizon New Jersey Inc",143001362,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",100,"Mbps",100,"Mbps",307,0,307,1,307,12,3684,0,0,0,0,0,3684,0.4,1473.6,2210.4,12000,NA,NA,NA,NA,NA,3684,1,1473.6,NA,2020,"Internet access service with no circuit (data circuit to ISP state/regional network is billed separately)","Current","No","Yes",100,100,"served_not_gigabit","not_gigabit",11593,"benchmark met","under50"
