"","ros_entity_number","FSCSKEY","FSCS_SEQ","ros_entity_name","ros_entity_type","is_school_library_independent","ros_subtype","ros_status","ros_physical_address","ros_physical_city","ros_physical_state","ros_physical_zipcode","ros_physical_zipcode_ext","ros_physical_county","ros_latitude","ros_longitude","ros_congressional_district","ros_urban_rural_status","ros_number_of_full_time_students","ros_total_number_of_part_time_students","ros_peak_number_of_part_time_students","ros_number_of_nslp_students","billed_entity_number","organization_name","organization_entity_type_name","org_address1","org_city","org_state","org_zipcode","org_congressional_district","funding_year","application_number","funding_request_number","form_471_line_item_number","is_certified_in_window","form_471_status_name","form_471_frn_status_name","pending_reason","spin_name","spin_number","chosen_category_of_service","form_471_service_type_name","form_471_function_name","form_471_product_name","upload_speed","form_471_upload_speed_unit_name","download_speed","form_471_download_speed_unit_name","total_monthly_cost","monthly_recur_ineligible_cost","monthly_recurring_unit_eligible_costs","monthly_quantity","total_monthly_eligible_recurring_costs","months_of_service","total_eligible_recurring_costs","total_one_time_cost","one_time_ineligible_cost","one_time_eligible_costs","one_time_quantity","total_eligible_one_time_costs","pre_discount_extended_eligible_line_item_costs","dis_pct","post_discount_extended_eligible_line_item_costs","post_discount_applicant_share","ros_square_footage","qty_allocation","tribal_type","form_471_frn_fiber_type_name","form_471_frn_fiber_sub_type_name","ros_physical_address_2","original_allocation","count_ros","cat1_discount_by_ros_estimated","cat2_discount_by_ros","MOST_RECENT_PLS","form_471_purpose_name","form_version","connection_directly_school","connection_supports_service","download_speed_mbps","upload_speed_mbps","speed_tier","gigabit_binary","POPU_LSA","LOCALE_ADD","LOCALE","LOCALE_ADD_DESCR","LOCALE_TOP_LEVEL_DESCR","speed_benchmark","pop_category","count_ents"
"1",16037191,"AL0186",2,"mobile public library admin. office","non-instructional facility (nif)",NA,NA,"Active","700 Government Street","Mobile","AL",36602,1403,"Mobile",30.6874627,-88.0506722,"Congressional District 1",NA,NA,NA,NA,NA,128166,"Mobile Public Library","library system","700 Government Street","Mobile","AL",36602,"Congressional District 1",2022,221034287,2299050670,2299050670.001,"In-Window","Committed","Funded","FCDL Issued","AT&T Corp.",143001192,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",775,0,775,9,6975,12,83700,0,0,0,0,0,83700,0.8,66960,16740,NA,1,NA,NA,NA,NA,9300,9,7440,NA,2020,"Internet access service that includes a connection from any applicant site directly to the Internet Service Provider","Current","Yes","No",1000,1000,"gigabit","gigabit",372433,NA,12,"City Midsize","City","bandwidth target met","over50",3
"2",17011328,"AL0186",2,"ben may main","library","No","main branch, public library","Active","701 Government St","Mobile","AL",36602,1402,"Mobile",30.6866853,-88.0505905,"Congressional District 1","Urban",NA,NA,NA,NA,128166,"Mobile Public Library","library system","700 Government Street","Mobile","AL",36602,"Congressional District 1",2022,221034287,2299050670,2299050670.001,"In-Window","Committed","Funded","FCDL Issued","AT&T Corp.",143001192,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",775,0,775,9,6975,12,83700,0,0,0,0,0,83700,0.8,66960,16740,49258,1,NA,NA,NA,NA,9300,9,7440,NA,2020,"Internet access service that includes a connection from any applicant site directly to the Internet Service Provider","Current","Yes","No",1000,1000,"gigabit","gigabit",372433,NA,12,"City Midsize","City","bandwidth target met","over50",3
"3",224901,"AL0186",2,"local history and geneaology","library","No","public library","Active","763 Government St","Mobile","AL",36602,NA,"Mobile",30.6868044,-88.0518436,"Congressional District 1","Urban",NA,NA,NA,NA,128166,"Mobile Public Library","library system","700 Government Street","Mobile","AL",36602,"Congressional District 1",2022,221034287,2299050670,2299050670.001,"In-Window","Committed","Funded","FCDL Issued","AT&T Corp.",143001192,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",775,0,775,9,6975,12,83700,0,0,0,0,0,83700,0.8,66960,16740,4000,1,NA,NA,NA,NA,9300,9,7440,NA,2020,"Internet access service that includes a connection from any applicant site directly to the Internet Service Provider","Current","Yes","No",1000,1000,"gigabit","gigabit",372433,NA,12,"City Midsize","City","bandwidth target met","over50",3
"4",17022216,"AL0199",11,"colony educational complex public library","library","No","public library","Active","151 Byars Rd","Hanceville","AL",35077,NA,"Cullman",33.946184,-86.881997,"Congressional District 4","Rural",NA,NA,NA,NA,198892,"Alabama Supercomputer Authority","consortium","401 Adams Avenue, Suite 764","Montgomery","AL",36130,"Congressional District 2",2022,221019281,2299025055,2299025055.006,"In-Window","Committed","Funded","FCDL Issued","CSC State and Local Solutions LLC",143024093,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",250,"Mbps",250,"Mbps",2613.68,336.72,2276.96,1,2276.96,12,27323.52,0,0,0,0,0,27323.52,0.8,21858.816,5464.7,1600,NA,NA,NA,NA,NA,4553.92,6,3643.136,NA,2020,"Internet access service that includes a connection from any applicant site directly to the Internet Service Provider","Current","Yes","No",250,250,"served_not_gigabit","not_gigabit",83442,NA,42,"Rural Distant","Rural","bandwidth target not met","over50",2
"5",17022216,"AL0199",11,"colony educational complex public library","library","No","public library","Active","151 Byars Rd","Hanceville","AL",35077,NA,"Cullman",33.946184,-86.881997,"Congressional District 4","Rural",NA,NA,NA,NA,198892,"Alabama Supercomputer Authority","consortium","401 Adams Avenue, Suite 764","Montgomery","AL",36130,"Congressional District 2",2022,221019281,2299025055,2299025055.007,"In-Window","Committed","Funded","FCDL Issued","CSC State and Local Solutions LLC",143024093,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",100,"Mbps",100,"Mbps",452.16,0,452.16,1,452.16,12,5425.92,0,0,0,0,0,5425.92,0.8,4340.736,1085.18,1600,NA,NA,NA,NA,NA,5425.92,1,4340.736,NA,2020,"Data Connection between two or more sites entirely within the applicant’s network","Current","No","Yes",100,100,"served_not_gigabit","not_gigabit",83442,NA,42,"Rural Distant","Rural","bandwidth target not met","over50",2
"6",212663,"AL0199",11,"tom bevill library","library","No","public library","Active","181 Byars Rd","Hanceville","AL",35077,NA,NA,33.9480214,-86.8885789,"Congressional District 4","Rural",NA,NA,NA,NA,198892,"Alabama Supercomputer Authority","consortium","401 Adams Avenue, Suite 764","Montgomery","AL",36130,"Congressional District 2",2022,221019281,2299025055,2299025055.006,"In-Window","Committed","Funded","FCDL Issued","CSC State and Local Solutions LLC",143024093,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",250,"Mbps",250,"Mbps",2613.68,336.72,2276.96,1,2276.96,12,27323.52,0,0,0,0,0,27323.52,0.8,21858.816,5464.7,1600,NA,NA,NA,NA,NA,4553.92,6,3643.136,NA,2020,"Internet access service that includes a connection from any applicant site directly to the Internet Service Provider","Current","Yes","No",250,250,"served_not_gigabit","not_gigabit",83442,NA,42,"Rural Distant","Rural","bandwidth target not met","over50",2
"7",211980,"AR0001",9,"central arkansas library-main library","library","No","main branch, public library","Active","100 Rock Street","Little Rock","AR",72202,NA,NA,34.7469155,-92.2671702,"Congressional District 2","Urban",NA,NA,NA,NA,139545,"Central Arkansas Lib System","library system","100 Rock Street","Little Rock","AR",72201,"Congressional District 2",2022,221009540,2299011000,2299011000.002,"In-Window","Committed","Funded","FCDL Issued","Windstream Communications, LLC",143030766,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Mbps",10,"Mbps",1954.93,218.4,1736.53,1,1736.53,12,20838.36,0,0,0,0,0,20838.36,0.9,18754.524,2083.84,156948,NA,NA,NA,NA,NA,NA,15,1250.3016,NA,2020,"Internet access service that includes a connection from any applicant site directly to the Internet Service Provider","Current","No","Yes",10,10,"unserved","not_gigabit",336463,NA,12,"City Midsize","City","bandwidth target not met","over50",2
"8",211983,"AR0001",9,"central arkansas library-williams","library","No","public library","Active","100 Rock Street","Little Rock","AR",72201,NA,NA,34.7469155,-92.2671702,"Congressional District 2","Urban",NA,NA,NA,NA,139545,"Central Arkansas Lib System","library system","100 Rock Street","Little Rock","AR",72201,"Congressional District 2",2022,221009540,2299011000,2299011000.001,"In-Window","Committed","Funded","FCDL Issued","Windstream Communications, LLC",143030766,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",17451.8,0,17451.8,1,17451.8,12,209421.6,0,0,0,0,0,209421.6,0.9,188479.44,20942.16,8500,NA,NA,NA,NA,NA,NA,12,15706.62,NA,2020,"Internet access service that includes a connection from any applicant site directly to the Internet Service Provider","Current","No","Yes",1000,1000,"gigabit","gigabit",336463,NA,12,"City Midsize","City","bandwidth target met","over50",2
"9",211983,"AR0001",9,"central arkansas library-williams","library","No","public library","Active","100 Rock Street","Little Rock","AR",72201,NA,NA,34.7469155,-92.2671702,"Congressional District 2","Urban",NA,NA,NA,NA,139545,"Central Arkansas Lib System","library system","100 Rock Street","Little Rock","AR",72201,"Congressional District 2",2022,221009540,2299011000,2299011000.002,"In-Window","Committed","Funded","FCDL Issued","Windstream Communications, LLC",143030766,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Mbps",10,"Mbps",1954.93,218.4,1736.53,1,1736.53,12,20838.36,0,0,0,0,0,20838.36,0.9,18754.524,2083.84,8500,NA,NA,NA,NA,NA,NA,15,1250.3016,NA,2020,"Internet access service that includes a connection from any applicant site directly to the Internet Service Provider","Current","No","Yes",10,10,"unserved","not_gigabit",336463,NA,12,"City Midsize","City","bandwidth target not met","over50",2
"10",17025369,"AZ0100",6,"kayenta","library","No","public library","Active","Us-163 & Indian Sr-6586","Kayenta","AZ",86033,NA,"Navajo",36.736876,-110.238387,"Congressional District 1","Rural",NA,NA,NA,NA,17023688,"Navajo Nation Tribal Consortium","consortium","2556 Morgan Blvd","Window Rock","AZ",86515,"Congressional District 3",2022,221032248,2299046988,2299046988.001,"In-Window","Committed","Funded","FCDL Issued","NTUA Wireless, LLC",143035541,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",100,"Mbps",100,"Mbps",2150,0,2150,70,150500,12,1806000,0,0,0,0,0,1806000,0.9,1625400,180600,0,1,"Tribal Library",NA,NA,NA,42000,43,37800,NA,2020,"Internet access service that includes a connection from any applicant site directly to the Internet Service Provider","Current","Yes","No",100,100,"served_not_gigabit","not_gigabit",100734,NA,41,"Rural Fringe","Rural","bandwidth target not met","over50",2
"11",17025375,"AZ0100",6,"kayenta library","library","No","public library","Active","1 Mile N. Us Highway 163","Kayenta","AZ",86033,NA,"Navajo",36.740238,-110.235217,"Congressional District 1","Rural",NA,NA,NA,NA,17023688,"Navajo Nation Tribal Consortium","consortium","2556 Morgan Blvd","Window Rock","AZ",86515,"Congressional District 3",2022,221032248,2299046988,2299046988.001,"In-Window","Committed","Funded","FCDL Issued","NTUA Wireless, LLC",143035541,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",100,"Mbps",100,"Mbps",2150,0,2150,70,150500,12,1806000,0,0,0,0,0,1806000,0.9,1625400,180600,0,1,"Tribal Library",NA,NA,NA,42000,43,37800,NA,2020,"Internet access service that includes a connection from any applicant site directly to the Internet Service Provider","Current","Yes","No",100,100,"served_not_gigabit","not_gigabit",100734,NA,41,"Rural Fringe","Rural","bandwidth target not met","over50",2
