"","FSCSKEY","FSCS_SEQ","STABR","LIBID","LIBNAME","ADDRESS","CITY","ZIP","LOCALE_ADD","LOCALE","LOCALE_ADD_DESCR","LOCALE_TOP_LEVEL_DESCR","LONGITUD","LATITUDE","PLS_YEAR","POPU_LSA","POPU_LSA_YEAR"
"1","AL0010",999,"AL","101-000","CHEAHA REGIONAL LIBRARY","935 COLEMAN STREET","HEFLIN",36264,42,NA,"Rural Distant","Rural",-85.58905583,33.64383087,2020,99363,2020
"2","AL0048",999,"AL","104-000","HORSESHOE BEND REGIONAL LIBRARY","207 NORTH WEST STREET","DADEVILLE",36853,42,NA,"Rural Distant","Rural",-85.76545581,32.83156009,2020,152087,2020
"3","AL0049",999,"AL","104-001","ALEXANDER CITY - ADELIA MCCONNELL RUSSELL LIBRARY","318 CHURCH STREET","ALEXANDER CITY",35010,32,NA,"Town Distant","Town",-85.9538698,32.9411837,2020,14467,2020
"4","AL0137",999,"AL","AL8003 - 1","NORTH SHELBY LIBRARY","5521 CAHABA VALLEY ROAD","BIRMINGHAM",35242,21,NA,"Suburban Large","Suburban",-86.71669298,33.36516341,2020,50936,2020
"5","AR0002",999,"AR","AR002","WASHINGTON COUNTY LIBRARY SYSTEM","1080 WEST CLYDESDALE DR","FAYETTEVILLE",72701,13,NA,"City Small","City",-94.17586127,36.03459753,2020,151597,2020
"6","AR0004",999,"AR","AR0004-023","SOUTHWEST ARKANSAS REGIONAL LIBRARY","121 WEST MAIN","PRESCOTT",71857,33,NA,"Town Remote","Town",-93.38128064,33.802679,2020,18970,2020
"7","AR0007",NA,"AR","AR0007-016","WHITE RIVER REGIONAL LIBRARY","503 WEST MAIN STREET, SUITE 3","MOUNTAIN VIEW",72560,43,NA,"Rural Remote","Rural",-92.123049,35.867583,2017,80973,2020
"8","AR0014",999,"AR","AR0014-016","SOUTHEAST ARKANSAS REGIONAL LIBRARY","114 W JEFFERSON","MONTICELLO",71655,33,NA,"Town Remote","Town",-91.79026275,33.63726715,2020,63485,2020
"9","AR0016",999,"AR","AR016","WILLIAM F. LAMAN PUBLIC LIBRARY SYSTEM","2801 ORANGE STREET","NORTH LITTLE ROCK",72114,13,NA,"City Small","City",-92.27002226,34.78048288,2020,65903,2020
"10","AR0019",999,"AR","AR019-007","WHITE COUNTY REGIONAL LIBRARY SYSTEM","113 EAST PLEASURE AVENUE","SEARCY",72143,32,NA,"Town Distant","Town",-91.73707085,35.247366,2020,78753,2020
"11","AR0041",NA,"AR","AR022-002","LONOKE COUNTY LIBRARY SYSTEM","204 EAST 2ND STREET","LONOKE",72086,32,NA,"Town Distant","Town",-91.898922,34.785286,2017,73309,2020
"12","AR0049",999,"AR","AR0049-001","CARROLL AND MADISON LIBRARY SYSTEM","106 SPRING STREET","BERRYVILLE",72616,32,NA,"Town Distant","Town",-93.56825485,36.36356326,2020,43718,2020
"13","AR0062",999,"AR","AR0062","OUACHITA MOUNTAINS REGIONAL LIBRARY","145A WHITTINGTON STREET","MT. IDA",71957,43,NA,"Rural Remote","Rural",-93.63310645,34.55625811,2020,29052,2020
"14","AR0081",999,"AR","AR0081-01","TRI-COUNTY REGIONAL LIBRARY SYSTEM","200 W. STILWELL AVE.","DE QUEEN",71832,33,NA,"Town Remote","Town",-94.33938642,34.03696554,2020,42468,2020
"15","AZ0001",999,"AZ","AE-APACHE","APACHE COUNTY LIBRARY DISTRICT OFFICE","30 S 2ND W","ST. JOHNS",85936,33,NA,"Town Remote","Town",-109.3679065,34.50631652,2020,72644,2020
"16","AZ0009",999,"AZ","AE-COCHISE","COCHISE COUNTY LIBRARY DISTRICT","100 CLAWSON AVE, 2ND FL","BISBEE",85603,32,NA,"Town Distant","Town",-109.9166159,31.44324507,2020,131694,2020
"17","AZ0028",999,"AZ","AE-MARICOPA","MARICOPA COUNTY LIBRARY DISTRICT OFFICE","2700 N CENTRAL AVE, STE 700","PHOENIX",85004,11,NA,"City Large","City",-112.0739175,33.47798098,2020,4439220,2020
"18","AZ0050",999,"AZ","AE-PINAL","PINAL COUNTY LIBRARY DISTRICT","92 W BUTTE AVE","FLORENCE",85132,31,NA,"Town Fringe","Town",-111.3882612,33.03139087,2020,467932,2020
"19","AZ0107",999,"AZ","AE-NAVAJO","NAVAJO COUNTY LIBRARY DISTRICT","121 W BUFFALO ST","HOLBROOK",86025,33,NA,"Town Remote","Town",-110.1591953,34.90389618,2020,113276,2020
"20","AZ0177",NA,"AZ","AE-LAPAZ","LA PAZ COUNTY SERVICES","69725 Centennial Rd","SALOME",85348,43,NA,"Rural Remote","Rural",-113.565375,33.78823302,2020,22542,2020
"21","AZ0181",999,"AZ","AE-HOPI","HOPI PUBLIC LIBRARY","1 MAIN ST, C/O HOPI EDUCATION DEPT","KYKOTSMOVI",86039,43,NA,"Rural Remote","Rural",-110.6235638,35.86877569,2020,9222,2020
"22","CA0028",NA,"CA","M624","CONTRA COSTA COUNTY LIBRARY","777 ARNOLD DRIVE, SUITE 210","MARTINEZ",94553,21,NA,"Suburban Large","Suburban",-122.1162743,37.99696493,2020,1042344,2020
"23","CA0047",999,"CA","M643","IMPERIAL COUNTY LIBRARY","1125 W. MAIN STREET","EL CENTRO",92243,13,NA,"City Small","City",-115.565097,32.79280251,2020,54968,2020
"24","CA0065",NA,"CA","M661","MARIN COUNTY FREE LIBRARY","3501 CIVIC CENTER DR, RM 414","SAN RAFAEL",94903,13,NA,"City Small","City",-122.5302064,37.99887797,2020,142424,2020
"25","CA0071",999,"CA","M667","MONO COUNTY FREE LIBRARY","400 SIERRA PARK RD.","MAMMOTH LAKES",93546,33,NA,"Town Remote","Town",-118.9639176,37.64005276,2020,13464,2020
"26","CA0091",NA,"CA","M687","PALO ALTO CITY LIBRARY","270 FOREST AVE","PALO ALTO",94301,13,NA,"City Small","City",-122.1593475,37.44403349,2020,69226,2020
"27","CA0136",999,"CA","M732","SOLANO COUNTY LIBRARY","1150 KENTUCKY ST.","FAIRFIELD",94533,22,NA,"Suburban Midsize","Suburban",-122.0479634,38.25149915,2020,413049,2020
"28","CA0157",999,"CA","M753","YOLO COUNTY LIBRARY","226 BUCKEYE ST.","WOODLAND",95695,23,NA,"Suburban Small","Suburban",-121.7948102,38.6834078,2020,160963,2020
"29","CA0194",NA,"CA","M877","RANCHO CUCAMONGA PUBLIC LIBRARY","7368 ARCHIBALD AVENUE","RANCHO CUCAMONGA",91730,21,NA,"Suburban Large","Suburban",-117.5935175,34.12019063,2020,175522,2020
"30","CA0210",NA,"CA","M800","SANTA CLARITA PUBLIC LIBRARY","23743 VALENCIA BLVD.","SANTA CLARITA",91355,21,NA,"Suburban Large","Suburban",-118.550302,34.41505496,2020,221932,2020
"31","CO0001",NA,"CO","FSCS0001","RANGEVIEW LIBRARY DISTRICT","5877 EAST 120TH AVENUE","THORNTON",80602,21,NA,"Suburban Large","Suburban",-104.9206768,39.91402491,2020,399594,2020
"32","CO0005",999,"CO","FSCS0005","ARAPAHOE LIBRARY DISTRICT","12855 E. ADAM AIRCRAFT CIRCLE","ENGLEWOOD",80112,21,NA,"Suburban Large","Suburban",-104.83999,39.5780525,2020,270550,2020
"33","CO0037",NA,"CO","FSCS037","DOUGLAS COUNTY LIBRARIES","100 SOUTH WILCOX","CASTLE ROCK",80104,21,NA,"Suburban Large","Suburban",-104.8603239,39.36855148,2020,351528,2020
"34","CO0039",NA,"CO","FSCS039","EAGLE VALLEY LIBRARY DISTRICT","600 BROADWAY","EAGLE",81631,33,NA,"Town Remote","Town",-106.8277966,39.65065827,2020,43994,2020
"35","CO0040",NA,"CO","FSCS0040","ELBERT COUNTY LIBRARY DISTRICT","651 W BEVERLY STREET","ELIZABETH",80107,42,NA,"Rural Distant","Rural",-104.610458,39.35811752,2020,26686,2020
"36","CO0046",NA,"CO","FSCS0046","POUDRE RIVER PUBLIC LIBRARY DISTRICT","301 E OLIVE STREET","FORT COLLINS",80524,12,NA,"City Midsize","City",-105.0737265,40.58419956,2020,207967,2020
"37","CO0049",NA,"CO","FSCS0049","GARFIELD COUNTY PUBLIC LIBRARY DISTRICT","207 EAST AVENUE","RIFLE",81650,33,NA,"Town Remote","Town",-107.7820553,39.53075801,2020,60168,2020
"38","CO0051",NA,"CO","FSCS0051","GRAND COUNTY LIBRARY DISTRICT","225 E JASPER AVE","GRANBY",80446,43,NA,"Rural Remote","Rural",-105.938,40.0863,2018,15718,2020
"39","CO0060",999,"CO","FSCS0060","JEFFERSON COUNTY PUBLIC LIBRARY","10200 W 20TH AVE","LAKEWOOD",80215,12,NA,"City Midsize","City",-105.1132755,39.74742751,2020,583081,2020
"40","CO0094",NA,"CO","FSCS0094","PARK COUNTY PUBLIC LIBRARY","400 FRONT STREET","FAIRPLAY",80440,43,NA,"Rural Remote","Rural",-106.0035905,39.22461702,2020,18844,2020
"41","CO0103",NA,"CO","FSCS013","SOUTH ROUTT LIBRARY DISTRICT","227 DODGE AVENUE","OAK CREEK",80467,43,NA,"Rural Remote","Rural",-106.9540926,40.27491773,2020,3447,2020
"42","CO0108",NA,"CO","FSCS0108","NORTHERN SAGUACHE COUNTY LIBRARY DISTRICT","702 PITKIN AVE","SAGUACHE",81149,43,NA,"Rural Remote","Rural",-106.1410913,38.08460058,2020,3282,2020
"43","CO0143",NA,"CO","ID003","CLEAR CREEK COUNTY LIBRARY DISTRICT","809 TAOS ST.","GEORGETOWN",80444,42,NA,"Rural Distant","Rural",-105.6956775,39.70764662,2020,9740,2020
"44","CO0144",NA,"CO","ID0004","DELTA COUNTY PUBLIC LIBRARY DISTRICT","149 E. MAIN","HOTCHKISS",81419,43,NA,"Rural Remote","Rural",-107.7206628,38.79987762,2020,31273,2020
