"","ros_entity_number","ros_entity_name","ros_entity_type","ros_physical_address","ros_physical_city","ros_physical_state","ros_physical_zipcode"
"1",105603,"silverado branch library","library","28192 SILVERADO CANYON RD","SILVERADO","CA",92676
"2",108057,"san mateo county san carlos branch library","library","655 CHESTNUT ST","SAN CARLOS","CA",94070
"3",108459,"san mateo county foster city branch library","library","600 FOSTER CITY BLVD","SAN MATEO","CA",94404
"4",112324,"dorris branch library","library","PO BOX 649","DORRIS","CA",96023
"5",11467,"queensbridge branch library","library","1043 41ST AVE","LONG IS CITY","NY",11101
"6",123186,"greenwich township  library","library","NEHAUNSEY SCH, CONSTITUTION DR","GIBBSTOWN","NJ",8027
"7",123596,"ny metro ref/rsrch lib agency","library","57 E 11TH ST FL 4","NEW YORK","NY",10003
"8",123641,"westchester library system","library","540 WHITE PLAINS ROAD, SUITE 200","TARRY TOWN","NY",10591
"9",123739,"ramapo catskill library system","library","619 ROUTE 17 M","MIDDLETOWN","NY",10940
"10",123834,"nassau library system","library","900 JERUSALEM AVE","UNIONDALE","NY",11553
"11",123980,"long island lib rsrcs council","library","627 N. SUNRISE SERVICE RD","BELLPORT","NY",11713
"12",124325,"southern adirondack library system","library","22 WHITNEY PL","SARATOGA SPGS","NY",12866
"13",124810,"nioga library system","library","6575 WHEELER RD","LOCKPORT","NY",14094
"14",124860,"western ny lib rsrcs council","library","4950 GENESEE ST STE AIRPORT","CHEEKTOWAGA","NY",14225
"15",124899,"rochester reg library council","library","390 PACKETTS LNDG","FAIRPORT","NY",14450
"16",125105,"south central regional library council","library","CLINTON HALL, 108 NORTH CAYUGA STREET","ITHACA","NY",14850
"17",125201,"west newton public library","library","124 N WATER ST","WEST NEWTON","PA",15089
"18",125379,"new alexandria public library","library","W MAIN ST","NEW ALEXANDRIA","PA",15670
"19",126021,"luzerne county library system","library","71 S FRANKLIN ST","WILKES BARRE","PA",18701
"20",126255,"berks county public lib system","library","1040 BERKS RD","LEESPORT","PA",19533
"21",126509,"library of virginia","library","800 E BROAD ST","RICHMOND","VA",23219
"22",127151,"south carolina state library","library","1500 SENATE ST","COLUMBIA","SC",29201
"23",128037,"library management network inc","library","2132 SIXTH AVENUE SE SUITE 106","DECATUR","AL",35601
"24",128214,"red river regional library","library","1753 ALPINE DR STE A","CLARKSVILLE","TN",37040
"25",128244,"stones river regional library","library","2118 E. MAIN STREET","MURFREESBORO","TN",37130
"26",128261,"tennessee state library and archives","library","403 7TH AVE NORTH","NASHVILLE","TN",37243
"27",128264,"ocoee river regional library","library","718 GEORGE ST","ATHENS","TN",37303
"28",128317,"holston river regional library","library","2700 S ROAN ST STE 435","JOHNSON CITY","TN",37601
"29",128449,"obion river regional library","library","P.O. BOX 168","MARTIN","TN",38237
"30",128508,"falling water river regional library","library","208 MINNEAR ST","COOKEVILLE","TN",38501
"31",128647,"mississippi library commission","library","3881 EASTWOOD DRIVE","JACKSON","MS",39211
"32",131073,"mideastern michigan library cooperative","library","503 SOUTH SAGINAW STREET SUITE 711","FLINT","MI",48502
"33",131981,"iowa state library","library","1112 EAST GRAND AVENUE","DES MOINES","IA",50319
"34",133404,"northern waters library serv","library","3200 LAKE SHORE DR E","ASHLAND","WI",54806
"35",133460,"outagamie waupaca lib system","library","225 N ONEIDA ST","APPLETON","WI",54911
"36",133559,"metropolitan lib svc agency","library","1619 DAYTON AVENUE","SAINT PAUL","MN",55104
"37",137653,"north central kansas lib sys","library","629 POYNTZ AVE","MANHATTAN","KS",66502
"38",137724,"southeast kansas lib system","library","218 E MADISON ST","IOLA","KS",66749
"39",138151,"southwest kansas lib system","library","100 MILITARY AVE, SUITE 210","DODGE CITY","KS",67801
"40",139290,"state library of louisiana","library","PO BOX 131","BATON ROUGE","LA",70821
"41",140787,"stella hill memorial library","library","158  W SAN ANTONIO, PO BOX 98","ALTO","TX",75925
"42",141757,"central texas library system","library","5555 N. LAMAR, SUITE L 115","AUSTIN","TX",78751
"43",141922,"silverton library","library","415 MAIN ST","SILVERTON","TX",79257
"44",142895,"the arizona state research library","library","1700 W WASHINGTON ST RM 300","PHOENIX","AZ",85007
"45",143269,"new mexico state library","library","1209 CAMINO CARLOS REY","SANTA FE","NM",87507
"46",145674,"kake community library","library","PO BOX 450","KAKE","AK",99830
"47",147493,"northeast ks library system","library","4317 WEST 6TH STREET","LAWRENCE","KS",66049
"48",148177,"middletown library service center","library","786 S MAIN","MIDDLETOWN","CT",6457
"49",149894,"norwood public library","library","P.O. BOX 127","NORWOOD","CO",81423
"50",150877,"wilderness coast public libraries","library","P.O. BOX 551","MONTICELLO","FL",32345
"51",151750,"redwood library","library","50 BELLEVUE AVENUE","NEWPORT","RI",2840
"52",154391,"first city libraries consortium","non-instructional facility (nif)","334 FRONT STREET","KETCHIKAN","AK",99901
"53",155962,"washington talking book and braille library","library","2021-9TH AVENUE","SEATTLE","WA",98121
"54",156864,"tds library","library","1400 MADISON AVE STE 622","MANKATO","MN",56001
"55",157922,"civic center","library","812 56TH ST","KENOSHA","WI",53140
"56",16020572,"southeastern new york library resources council","library","21 S. ELTING CORNERS ROAD","HIGHLAND","NY",12528
"57",16021103,"biblioteca publica cayey de st thomas","library","P.O. BOX 371330","CAYEY","PR",737
"58",16021122,"biblioteca electronica de bayamon","library","BO. BAYAMON. CARR.787 KM 3. 6","CIDRA","PR",739
"59",16021247,"data center","library","7615 DISALLE ST","FORT WAYNE","IN",46825
